C	area	va	hourly
	VARIABLES	BEGIN	END
	122	1	8736

C	hourly				OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	16	01	JAN	15:00	2069337	2041428	1094428	0	2733250	38.89	20.79	0	50.00	48764	0	0	0	0	0	0	0	69802	2858	66923	76700	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	19051	10394	0	28065	0	0	0	0	749	1574	0	4892	0	0	0	0	48.08	27.15	0	76.03	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	27909	61789	0	195680	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13616	7716	0	21673	13638	7854	0	21673	0	0	0	0	51	27	0	68
	17	01	JAN	16:00	2108317	2049843	1101243	0	2800350	38.89	20.79	0	50.00	48865	0	0	0	0	0	0	0	71207	3181	67464	78423	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	19219	10482	0	29001	0	0	0	0	1704	2837	0	7259	0	0	0	0	48.08	27.14	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	58474	99215	0	264600	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13448	7467	0	20799	13238	7630	0	21580	0	0	0	0	51	27	0	70
	18	01	JAN	17:00	2119074	1990070	1073029	0	2813650	42.22	24.39	0	80.00	48143	0	0	0	0	0	0	0	71811	3393	68410	79961	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	17	48	0	153	17996	10006	0	27000	0	0	0	0	3326	3229	0	8000	0	0	0	0	48.06	27.14	0	76.07	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	129004	129260	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14653	8648	0	25178	13155	7570	0	21580	0	0	0	0	51	28	0	70
	19	01	JAN	18:00	2144771	2068081	1119958	0	2839150	42.22	24.39	0	80.00	49061	0	0	0	0	0	0	0	72300	3347	68958	80594	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	87	247	0	786	19444	10934	0	30000	0	0	0	0	2237	3259	0	8000	0	0	0	0	48.05	27.13	0	76.02	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	76690	114854	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13135	7993	0	26339	13046	7507	0	21580	0	0	0	0	52	28	0	70
	20	01	JAN	19:00	2172559	2088294	1120745	0	2842280	42.22	24.39	0	80.00	49280	0	0	0	0	0	0	0	72539	3547	68094	81399	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	177	500	0	1591	19705	10590	0	27000	0	0	0	0	2222	3305	0	8000	0	0	0	0	48.04	27.12	0	76.05	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	84265	130112	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	12785	7233	0	20919	13014	7461	0	21580	0	0	0	0	52	28	0	70
	21	01	JAN	20:00	2154731	2076926	1123668	0	2830680	42.22	24.39	0	80.00	49148	0	0	0	0	0	0	0	72364	3546	67901	81254	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	161	454	0	1446	19504	10915	0	30000	0	0	0	0	2269	3259	0	8000	0	0	0	0	48.04	27.11	0	76.00	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	77806	114735	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13002	7853	0	25915	13049	7455	0	21580	0	0	0	0	52	28	0	70
	22	01	JAN	21:00	2120250	1989431	1078264	0	2786520	42.22	24.39	0	80.00	48114	0	0	0	0	0	0	0	71910	3519	67678	80702	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	99	281	0	894	17852	10076	0	27000	0	0	0	0	3584	3511	0	8000	0	0	0	0	48.01	27.09	0	75.95	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	130819	131705	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14715	8946	0	26538	13139	7511	0	21580	0	0	0	0	52	28	0	70
	23	01	JAN	22:00	2111028	1999182	1074187	0	2733450	38.89	20.79	0	50.00	48257	0	0	0	0	0	0	0	71488	3258	67773	79760	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18206	9882	0	27000	0	0	0	0	2998	3414	0	7952	0	0	0	0	48.00	27.09	0	75.98	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	111847	128155	0	318080	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14461	7933	0	21627	13261	7582	0	21580	0	0	0	0	52	28	0	70
	24	01	JAN	23:00	2082862	2028858	1088925	0	2773700	38.89	20.79	0	50.00	48613	0	0	0	0	0	0	0	70102	3315	66255	78685	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18799	10476	0	28874	0	0	0	0	1376	2407	0	6877	0	0	0	0	48.00	27.09	0	76.01	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	54004	96500	0	275080	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	13867	7991	0	23215	13497	7735	0	21580	0	0	0	0	52	28	0	70
	25	02	JAN	00:00	2221849	2139198	1190532	0	3602360	42.22	24.39	0	80.00	49252	0	0	0	0	0	0	0	72990	3671	69664	82525	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	1302	3682	0	11717	19234	10657	0	30000	0	0	0	0	2178	2762	0	6783	0	0	0	0	47.99	27.09	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	82652	108189	0	271331	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	12019	8384	0	23275	12643	7282	0	21580	0	0	0	0	53	28	0	77
	26	02	JAN	01:00	2144577	2065733	1110457	0	2821560	42.22	24.39	0	80.00	48652	0	0	0	0	0	0	0	71760	3494	68686	80765	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	217	615	0	1957	19500	10672	0	30000	0	0	0	0	2041	2982	0	8000	0	0	0	0	47.99	27.08	0	76.07	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	78845	119075	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	12838	7422	0	22491	12817	7315	0	21580	0	0	0	0	52	28	0	74
	27	02	JAN	02:00	2117591	2061400	1137602	0	3324040	42.22	24.39	0	80.00	48419	0	0	0	0	0	0	0	70263	3347	67552	79046	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	915	2589	0	8238	18297	10526	0	29931	0	0	0	0	1425	2500	0	6686	0	0	0	0	47.99	27.09	0	76.10	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	56191	100247	0	267454	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	13343	8929	0	25459	13137	7497	0	21580	0	0	0	0	53	28	0	74
	28	02	JAN	03:00	2046177	1995460	1106167	0	3184360	42.22	24.39	0	80.00	47678	0	0	0	0	0	0	0	68734	3287	65414	77300	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	721	2040	0	6492	17288	10292	0	28521	0	0	0	0	1490	2854	0	8000	0	0	0	0	47.99	27.09	0	76.05	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50718	95046	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14546	9707	0	29021	13672	7858	0	21580	0	0	0	0	52	28	0	72
	29	02	JAN	04:00	2023171	2023171	1098024	0	3089640	42.22	24.39	0	80.00	48045	0	0	0	0	0	0	0	67614	3311	64018	76116	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	590	1668	0	5308	18053	9931	0	27685	0	0	0	0	0	0	0	0	0	0	0	0	48.00	27.10	0	76.08	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	13913	8317	0	21958	14187	8218	0	21958	0	0	0	0	52	28	0	71
	30	02	JAN	05:00	1953792	1870184	1022586	0	2682500	42.22	24.39	0	80.00	46362	0	0	0	0	0	0	0	67181	3269	63763	75311	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15937	9630	0	27750	0	0	0	0	2312	3046	0	8000	0	0	0	0	48.00	27.09	0	76.03	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	83608	106913	0	267454	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	16619	10200	0	30617	14477	8401	0	22617	0	0	0	0	52	28	0	70
	31	02	JAN	06:00	1941580	1865765	1021532	0	2665000	42.22	24.39	0	80.00	46309	0	0	0	0	0	0	0	66757	3283	63327	75180	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15849	9622	0	26998	0	0	0	0	2118	3117	0	8000	0	0	0	0	47.99	27.09	0	75.98	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	75815	109536	0	267454	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	16707	10282	0	30974	14746	8563	0	22974	0	0	0	0	52	28	0	70
	32	02	JAN	07:00	1979053	1979053	1074864	0	3024680	42.22	24.39	0	80.00	47539	0	0	0	0	0	0	0	66592	3444	63110	75304	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	500	1413	0	4496	17315	9609	0	26956	0	0	0	0	0	0	0	0	0	0	0	0	48.00	27.10	0	76.00	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14741	8724	0	23226	14911	8655	0	23226	0	0	0	0	52	28	0	70
	33	02	JAN	08:00	1955273	1907411	1039911	0	2665000	42.22	24.39	0	80.00	46809	0	0	0	0	0	0	0	66861	3491	62983	75577	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16682	9820	0	27330	0	0	0	0	1419	2761	0	8000	0	0	0	0	48.00	27.09	0	75.95	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	47862	90291	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15874	9569	0	31099	14656	8466	0	23099	0	0	0	0	52	28	0	70
	34	02	JAN	09:00	1973582	1923811	1044518	0	2689450	42.22	24.39	0	80.00	47006	0	0	0	0	0	0	0	67287	3514	63667	76224	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17010	9802	0	27889	0	0	0	0	1458	2782	0	7710	0	0	0	0	48.01	27.09	0	75.98	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	49771	93177	0	231301	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	15546	8729	0	23976	14360	8263	0	22551	0	0	0	0	52	28	0	70
	35	02	JAN	10:00	2036047	1989622	1088487	0	3172280	42.22	24.39	0	80.00	47612	0	0	0	0	0	0	0	68182	3602	64123	77149	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	705	1993	0	6341	17198	9386	0	26000	0	0	0	0	1161	2529	0	7971	0	0	0	0	48.01	27.09	0	76.01	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	46425	101141	0	318853	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14653	8877	0	23153	13867	7966	0	22306	0	0	0	0	52	28	0	72
	36	02	JAN	11:00	2033546	1966306	1055826	0	2665000	42.22	24.39	0	80.00	47516	0	0	0	0	0	0	0	68857	3579	64523	77937	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	30667	16499	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17859	9645	0	26000	0	0	0	0	1681	3152	0	8000	0	0	0	0	48.01	27.09	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	67240	126062	0	320000	0	0	0	0	0	0	0	0	0	0	0	0	0	81222	2529	76000	85000	14696	8204	0	22827	13508	7704	0	21582	0	0	0	0	52	28	0	70
