C	area	de	daily
	VARIABLES	BEGIN	END
	9	1	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
	89	30	MAR	938667	394783	0	0	0	0	939	566	0
	90	31	MAR	949333	297681	0	0	0	0	949	488	0
	91	01	APR	947418	245614	0	0	0	0	949	393	0
	92	02	APR	952000	245200	0	0	0	0	952	415	0
	93	03	APR	960000	351948	0	0	0	0	960	501	0
	94	04	APR	960000	401639	0	0	0	0	960	554	0
	95	05	APR	952000	379454	0	0	0	0	952	555	0
	96	06	APR	949333	292786	0	0	0	0	949	442	0
	97	07	APR	954502	202269	0	0	0	0	955	340	0
	98	08	APR	959925	156173	0	0	0	0	960	312	0
	99	09	APR	941244	212807	0	0	0	0	941	348	0
	100	10	APR	938667	308575	0	0	0	0	939	425	0
	101	11	APR	928000	380043	43	0	0	0	928	509	0
	102	12	APR	928000	368801	0	0	0	0	928	512	0
	103	13	APR	917333	263247	0	0	0	0	917	415	0
	104	14	APR	906667	198739	0	0	0	0	907	298	0
	105	15	APR	908842	152491	0	0	0	0	912	254	0
	106	16	APR	906667	195128	0	0	0	0	907	319	0
	107	17	APR	901333	265121	0	0	0	0	901	393	0
	108	18	APR	912000	314974	0	0	0	0	912	462	0
	109	19	APR	922667	325077	0	0	0	0	923	504	0
	110	20	APR	925333	243949	0	0	0	0	925	368	0
	111	21	APR	922388	170899	0	0	0	0	923	281	0
	112	22	APR	919584	132642	0	0	0	0	923	201	0
	113	23	APR	920888	155106	0	0	0	0	923	232	0
	114	24	APR	941333	205771	0	0	0	0	941	308	0
	115	25	APR	946667	269917	0	0	0	0	947	391	0
	116	26	APR	954667	264662	0	0	0	0	955	412	0
	117	27	APR	944000	202287	0	0	0	0	944	320	0
	118	28	APR	930302	131029	0	0	0	0	933	182	0
	119	29	APR	932355	97472	0	0	0	0	939	134	0
	120	30	APR	929955	98910	0	0	0	0	936	138	0
	121	01	MAY	950674	137920	0	0	0	0	952	182	0
	122	02	MAY	954667	156445	0	0	0	0	955	234	0
	123	03	MAY	968000	150355	0	0	0	0	968	235	0
	124	04	MAY	961634	113452	0	0	0	0	965	150	0
	125	05	MAY	917334	52061	0	0	0	0	961	79	0
	126	06	MAY	887666	33147	0	0	0	0	958	52	0
	127	07	MAY	924468	30434	0	0	0	0	973	42	0
	128	08	MAY	969755	72144	0	0	0	0	983	100	0
	129	09	MAY	978586	115988	0	0	0	0	979	176	0
	130	10	MAY	977639	118596	0	0	0	0	979	158	0
	131	11	MAY	951806	75690	0	0	0	0	965	97	0
	132	12	MAY	930524	33595	0	0	0	0	971	44	0
	133	13	MAY	884669	19367	0	0	0	0	962	26	0
	134	14	MAY	900875	30412	0	0	0	0	960	40	0
	135	15	MAY	942121	71369	0	0	0	0	955	105	0
	136	16	MAY	948027	127924	0	0	0	0	949	173	0
	137	17	MAY	939000	122267	0	0	0	0	941	191	0
	138	18	MAY	925548	99440	0	0	0	0	933	119	0
	139	19	MAY	908608	45656	0	0	0	0	938	55	0
	140	20	MAY	875625	27507	0	0	0	0	948	36	0
	141	21	MAY	897008	39567	0	0	0	0	947	53	0
	142	22	MAY	927029	69503	0	0	0	0	947	96	0
	143	23	MAY	940981	100106	0	0	0	0	944	131	0
	144	24	MAY	949893	88342	0	0	0	0	957	125	0
	145	25	MAY	929596	48128	0	0	0	0	952	62	0
	146	26	MAY	885323	10226	0	0	0	0	962	14	0
	147	27	MAY	845025	1508	0	0	0	0	960	2	0
	148	28	MAY	875675	4638	0	0	0	0	955	6	0
	149	29	MAY	929702	19386	0	0	0	0	963	31	0
	150	30	MAY	940916	50948	0	0	0	0	947	67	0
	151	31	MAY	943783	52249	0	0	0	0	955	65	0
	152	01	JUN	934130	21472	0	0	0	0	952	29	0
	153	02	JUN	884949	7481	0	0	0	0	948	10	0
	154	03	JUN	842749	1358	0	0	0	0	947	2	0
	155	04	JUN	859466	4241	0	0	0	0	947	7	0
	156	05	JUN	907529	23445	0	0	0	0	947	35	0
	157	06	JUN	923558	49134	0	0	0	0	939	67	0
	158	07	JUN	930018	56739	0	0	0	0	952	78	0
	159	08	JUN	885177	39858	0	0	0	0	941	49	0
	160	09	JUN	800617	12018	0	0	0	0	941	15	0
	161	10	JUN	759273	1584	0	0	0	0	939	2	0
	162	11	JUN	786789	5152	0	0	0	0	942	8	0
	163	12	JUN	848790	9924	0	0	0	0	948	14	0
	164	13	JUN	893904	23115	0	0	0	0	950	31	0
	165	14	JUN	891425	22048	0	0	0	0	952	27	0
	166	15	JUN	838841	13209	0	0	0	0	949	16	0
	167	16	JUN	777630	1379	0	0	0	0	953	2	0
	168	17	JUN	734875	0	0	0	0	0	944	0	0
	169	18	JUN	759943	182	0	0	0	0	944	0	0
	170	19	JUN	852938	5393	0	0	0	0	941	9	0
	171	20	JUN	900547	13857	0	0	0	0	949	17	0
	172	21	JUN	907122	12453	0	0	0	0	953	16	0
	173	22	JUN	853590	5085	0	0	0	0	952	7	0
	174	23	JUN	769354	3068	0	0	0	0	936	4	0
	175	24	JUN	727283	266	0	0	0	0	932	0	0
	176	25	JUN	767576	67	0	0	0	0	936	0	0
	177	26	JUN	856123	5978	0	0	0	0	949	8	0
	178	27	JUN	905783	10231	0	0	0	0	955	13	0
	179	28	JUN	897396	8225	0	0	0	0	953	11	0
	180	29	JUN	846179	231	0	0	0	0	943	1	0
	181	30	JUN	768304	697	0	0	0	0	937	1	0
	182	01	JUL	743926	1135	0	0	0	0	936	2	0
	183	02	JUL	786990	452	0	0	0	0	937	1	0
	184	03	JUL	851978	2138	0	0	0	0	945	3	0
	185	04	JUL	897493	13247	0	0	0	0	947	18	0
	186	05	JUL	883557	14687	0	0	0	0	944	18	0
	187	06	JUL	849163	5782	0	0	0	0	936	10	0
	188	07	JUL	765645	358	0	0	0	0	932	0	0
	189	08	JUL	717677	82	0	0	0	0	926	0	0
	190	09	JUL	752293	4700	0	0	0	0	922	7	0
	191	10	JUL	833288	15656	0	0	0	0	926	22	0
	192	11	JUL	872963	19187	0	0	0	0	928	33	0
	193	12	JUL	864566	13229	0	0	0	0	937	20	0
	194	13	JUL	815727	1800	0	0	0	0	937	3	0
	195	14	JUL	734126	20	0	0	0	0	923	0	0
	196	15	JUL	702891	0	0	0	0	0	923	0	0
	197	16	JUL	761487	568	0	0	0	0	925	1	0
	198	17	JUL	828142	5630	0	0	0	0	928	9	0
	199	18	JUL	880657	22442	0	0	0	0	934	29	0
	200	19	JUL	891861	17575	0	0	0	0	952	23	0
	201	20	JUL	843769	8826	0	0	0	0	948	10	0
	202	21	JUL	770227	4909	0	0	0	0	938	6	0
	203	22	JUL	745788	1047	0	0	0	0	936	1	0
	204	23	JUL	800393	619	0	0	0	0	934	1	0
	205	24	JUL	869716	5991	0	0	0	0	951	9	0
	206	25	JUL	919132	10835	0	0	0	0	965	14	0
	207	26	JUL	919374	8062	0	0	0	0	963	11	0
	208	27	JUL	872253	985	0	0	0	0	956	2	0
	209	28	JUL	774998	0	0	0	0	0	953	0	0
	210	29	JUL	733702	0	0	0	0	0	952	0	0
	211	30	JUL	782919	605	0	0	0	0	951	1	0
	212	31	JUL	869093	3243	0	0	0	0	965	5	0
	213	01	AUG	941098	23014	0	0	0	0	979	30	0
	214	02	AUG	936684	19217	0	0	0	0	978	25	0
	215	03	AUG	901136	6788	0	0	0	0	976	11	0
	216	04	AUG	793642	2375	0	0	0	0	968	3	0
	217	05	AUG	735810	1262	0	0	0	0	965	2	0
	218	06	AUG	794991	4042	0	0	0	0	968	7	0
	219	07	AUG	873670	7845	0	0	0	0	976	10	0
	220	08	AUG	918603	21308	0	0	0	0	973	26	0
	221	09	AUG	913270	18935	0	0	0	0	973	24	0
	222	10	AUG	866889	8675	0	0	0	0	973	11	0
	223	11	AUG	790322	1458	0	0	0	0	957	2	0
	224	12	AUG	745114	0	0	0	0	0	947	0	0
	225	13	AUG	776710	0	0	0	0	0	946	0	0
	226	14	AUG	864144	3361	0	0	0	0	950	5	0
	227	15	AUG	903294	15549	0	0	0	0	956	22	0
	228	16	AUG	916756	22139	0	0	0	0	955	29	0
	229	17	AUG	879565	11487	0	0	0	0	947	14	0
	230	18	AUG	816942	4550	0	0	0	0	925	7	0
	231	19	AUG	781619	1563	0	0	0	0	919	2	0
	232	20	AUG	831191	9827	0	0	0	0	917	17	0
	233	21	AUG	891451	34728	0	0	0	0	920	56	0
	234	22	AUG	915311	72692	0	0	0	0	925	96	0
	235	23	AUG	926709	68895	0	0	0	0	928	94	0
	236	24	AUG	904016	45306	0	0	0	0	917	59	0
	237	25	AUG	851883	17887	0	0	0	0	915	25	0
	238	26	AUG	834157	6082	0	0	0	0	916	9	0
	239	27	AUG	882438	30400	0	0	0	0	913	44	0
	240	28	AUG	928593	66414	0	0	0	0	931	94	0
	241	29	AUG	935676	100072	0	0	0	0	936	135	0
	242	30	AUG	941362	91409	0	0	0	0	944	125	0
	243	31	AUG	926553	73905	0	0	0	0	941	107	0
	244	01	SEP	887599	34793	0	0	0	0	931	45	0
	245	02	SEP	846086	17019	0	0	0	0	926	24	0
	246	03	SEP	876333	29328	0	0	0	0	930	36	0
	247	04	SEP	926925	40864	0	0	0	0	944	68	0
	248	05	SEP	932389	58039	0	0	0	0	944	86	0
	249	06	SEP	942231	58973	0	0	0	0	947	89	0
	250	07	SEP	924587	32452	0	0	0	0	952	41	0
	251	08	SEP	879627	6733	0	0	0	0	950	10	0
	252	09	SEP	854186	11771	0	0	0	0	941	16	0
	253	10	SEP	891242	30379	0	0	0	0	953	42	0
	254	11	SEP	930205	60077	0	0	0	0	963	87	0
	255	12	SEP	956803	106278	0	0	0	0	968	149	0
	256	13	SEP	962194	107487	0	0	0	0	971	151	0
	257	14	SEP	942316	84240	0	0	0	0	960	123	0
	258	15	SEP	912200	33431	0	0	0	0	958	45	0
	259	16	SEP	893993	23575	0	0	0	0	968	30	0
	260	17	SEP	918220	33924	0	0	0	0	968	44	0
	261	18	SEP	945777	92915	0	0	0	0	960	117	0
	262	19	SEP	958624	137834	0	0	0	0	960	177	0
	263	20	SEP	959787	149304	0	0	0	0	960	188	0
	264	21	SEP	946284	86755	0	0	0	0	952	108	0
	265	22	SEP	927079	45459	0	0	0	0	957	58	0
	266	23	SEP	914492	44691	0	0	0	0	944	65	0
	267	24	SEP	927343	81560	0	0	0	0	941	108	0
	268	25	SEP	933273	166515	0	0	0	0	933	234	0
	269	26	SEP	925333	229542	0	0	0	0	925	342	0
	270	27	SEP	928000	264299	0	0	0	0	928	400	0
	271	28	SEP	936000	165081	0	0	0	0	936	263	0
	272	29	SEP	918191	99915	0	0	0	0	925	148	0
	273	30	SEP	897748	80403	0	0	0	0	912	120	0
	274	01	OCT	909941	116382	0	0	0	0	920	174	0
	275	02	OCT	906667	213954	0	0	0	0	907	301	0
	276	03	OCT	914667	291619	0	0	0	0	915	383	0
	277	04	OCT	917333	313810	0	0	0	0	917	437	0
	278	05	OCT	928000	230160	0	0	0	0	928	375	0
	279	06	OCT	922370	146305	0	0	0	0	928	274	0
	280	07	OCT	898441	129607	0	0	0	0	909	225	0
	281	08	OCT	907842	168898	0	0	0	0	915	282	0
	282	09	OCT	918461	271455	0	0	0	0	920	395	0
	283	10	OCT	933333	334273	0	0	0	0	933	449	0
	284	11	OCT	920000	365122	0	0	0	0	920	496	0
	285	12	OCT	930615	299330	0	0	0	0	931	422	0
	286	13	OCT	927870	204081	0	0	0	0	931	338	0
	287	14	OCT	921304	175899	0	0	0	0	925	272	0
	288	15	OCT	915432	194904	0	0	0	0	917	318	0
	289	16	OCT	922667	277241	0	0	0	0	923	397	0
	290	17	OCT	944000	338469	0	0	0	0	944	481	0
	291	18	OCT	938667	339942	0	0	0	0	939	493	0
	292	19	OCT	944000	268296	0	0	0	0	944	432	0
	293	20	OCT	940635	191128	0	0	0	0	941	357	0
	294	21	OCT	944902	187005	0	0	0	0	949	365	0
	295	22	OCT	951453	229436	0	0	0	0	952	406	0
	296	23	OCT	949333	304160	0	0	0	0	949	449	0
	297	24	OCT	962667	370679	0	0	0	0	963	502	0
	298	25	OCT	960000	361208	0	0	0	0	960	522	0
	299	26	OCT	949333	316137	0	0	0	0	949	461	0
	300	27	OCT	946667	234490	0	0	0	0	947	407	0
	301	28	OCT	945504	172638	0	0	0	0	949	317	0
	302	29	OCT	956113	186743	0	0	0	0	960	358	0
	303	30	OCT	962667	282131	0	0	0	0	963	438	0
	304	31	OCT	968000	372089	0	0	0	0	968	517	0
	305	01	NOV	970667	363524	0	0	0	0	971	525	0
	306	02	NOV	973333	277484	0	0	0	0	973	486	0
	307	03	NOV	964575	237901	0	0	0	0	965	453	0
	308	04	NOV	975359	209382	0	0	0	0	976	431	0
	309	05	NOV	981333	269111	0	0	0	0	981	469	0
	310	06	NOV	984000	338378	0	0	0	0	984	535	0
	311	07	NOV	984000	396716	0	0	0	0	984	559	0
	312	08	NOV	976000	398029	0	0	0	0	976	576	0
	313	09	NOV	970667	331223	0	0	0	0	971	548	0
	314	10	NOV	970667	234224	0	0	0	0	971	530	0
	315	11	NOV	960000	223418	0	0	0	0	960	513	0
	316	12	NOV	960000	276908	0	0	0	0	960	543	0
	317	13	NOV	968000	383490	0	0	0	0	968	588	0
	318	14	NOV	962667	465362	0	0	0	0	963	613	0
	319	15	NOV	970667	455088	0	0	0	0	971	620	0
	320	16	NOV	968000	392210	0	0	0	0	968	594	0
	321	17	NOV	973333	288240	0	0	0	0	973	554	0
	322	18	NOV	968000	252434	0	0	0	0	968	557	0
	323	19	NOV	960000	294299	0	0	0	0	960	579	0
	324	20	NOV	957333	417276	0	0	0	0	957	601	0
	325	21	NOV	970667	495623	0	0	0	0	971	637	0
	326	22	NOV	981333	497074	0	0	0	0	981	643	0
	327	23	NOV	970667	451643	0	0	0	0	971	632	0
	328	24	NOV	973333	351243	0	0	0	0	973	616	0
	329	25	NOV	968000	314430	0	0	0	0	968	591	0
	330	26	NOV	954667	370811	0	0	0	0	955	614	0
	331	27	NOV	946667	485214	0	0	0	0	947	634	0
	332	28	NOV	962667	536214	1070	0	0	0	963	642	1
	333	29	NOV	970667	504466	0	0	0	0	971	620	0
	334	30	NOV	962667	443052	0	0	0	0	963	601	0
	335	01	DEC	954667	401195	412	0	0	0	955	560	1
	336	02	DEC	954667	370423	0	0	0	0	955	548	0
	337	03	DEC	970667	382833	0	0	0	0	971	540	0
	338	04	DEC	973333	468552	0	0	0	0	973	576	0
	339	05	DEC	973333	517803	42	0	0	0	973	603	0
	340	06	DEC	981333	508436	576	0	0	0	981	626	1
	341	07	DEC	984000	460555	0	0	0	0	984	632	0
	342	08	DEC	976000	390729	0	0	0	0	976	634	0
	343	09	DEC	965333	376865	0	0	0	0	965	630	0
	344	10	DEC	962667	443432	238	0	0	0	963	632	0
	345	11	DEC	973333	514520	1509	0	0	0	973	633	2
	346	12	DEC	960000	579424	12452	0	0	0	960	648	18
	347	13	DEC	946667	583510	23748	0	0	0	947	650	32
	348	14	DEC	936000	542938	8439	0	0	0	936	642	12
	349	15	DEC	928000	496987	2539	0	0	0	928	630	3
	350	16	DEC	925333	438811	380	0	0	0	925	610	0
	351	17	DEC	933333	455891	0	0	0	0	933	623	0
	352	18	DEC	933333	551789	6968	0	0	0	933	644	9
	353	19	DEC	944000	600273	7950	0	0	0	944	665	11
	354	20	DEC	946667	609556	5724	0	0	0	947	675	7
	355	21	DEC	938667	560451	1643	0	0	0	939	670	2
	356	22	DEC	944000	489577	348	0	0	0	944	664	0
	357	23	DEC	949333	435660	63	0	0	0	949	657	0
	358	24	DEC	645333	274134	162	0	0	0	645	432	0
	359	25	DEC	642667	309855	6184	0	0	0	643	427	8
	360	26	DEC	642667	367935	11078	0	0	0	643	433	16
	361	27	DEC	629333	367822	11079	0	0	0	629	424	16
	362	28	DEC	632000	326838	530	0	0	0	632	413	1
	363	29	DEC	634667	288709	0	0	0	0	635	397	0
	364	30	DEC	629333	276993	683	0	0	0	629	395	1
