C	area	id	daily
	VARIABLES	BEGIN	END
	58	1	364

C	daily			OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
	9	09	JAN	9	2	8	7	1	1	9	5	3	4	1	1	1	1	1	1	3	8	1	1	1	1	1	2	9	3	1	1	6	5	1	1	8	4	3	4	1	1	4	1	6	5	1	1	1	1	1	1	3	8	6	8	6	8	1	1	4	2
	10	10	JAN	9	6	1	7	1	1	9	7	3	4	1	1	1	1	1	1	3	8	1	1	1	1	1	6	9	2	1	1	1	7	1	1	8	4	3	4	1	1	4	1	9	7	1	1	1	1	1	1	3	8	6	8	6	8	1	1	3	2
	11	11	JAN	1	6	8	6	1	1	9	6	3	4	1	1	1	1	1	1	3	1	1	1	1	1	1	6	1	2	1	1	8	7	1	1	8	4	3	4	1	1	4	1	8	7	1	1	1	1	1	1	3	8	6	1	6	8	1	1	3	6
	12	12	JAN	1	6	1	6	1	1	9	6	3	4	1	1	1	1	1	1	3	1	1	1	1	1	1	6	1	7	1	1	8	6	1	1	8	4	3	4	1	1	4	1	8	6	1	1	1	1	1	1	3	8	6	8	6	8	1	1	4	6
	13	13	JAN	1	6	8	6	1	1	1	6	3	4	1	1	1	1	1	1	3	9	1	1	1	1	1	6	1	6	1	1	2	4	1	1	8	4	3	4	1	1	4	1	2	4	1	1	1	1	1	1	3	2	6	8	6	8	1	1	4	2
	14	14	JAN	1	6	8	6	1	1	3	6	3	4	1	1	1	1	1	1	7	9	1	1	1	1	1	6	9	6	1	1	7	9	1	1	8	4	3	4	1	1	4	1	7	9	1	1	1	1	1	1	7	2	6	9	6	8	1	1	4	9
	15	15	JAN	1	2	8	7	1	1	3	4	3	4	1	1	1	1	1	1	7	9	1	1	1	1	1	7	1	7	1	1	7	4	1	1	8	4	3	4	1	1	4	1	7	4	1	1	1	1	1	1	7	9	7	8	7	8	1	1	4	9
	16	16	JAN	1	9	8	7	1	1	3	4	3	4	1	1	1	1	1	1	7	9	1	1	1	1	1	7	1	2	1	1	8	4	1	1	8	4	3	4	1	1	4	1	8	7	1	1	1	1	1	1	7	9	7	5	7	3	1	1	7	9
	17	17	JAN	1	7	3	7	1	1	3	9	3	4	1	1	1	1	1	1	7	1	1	1	1	1	1	7	1	2	1	1	2	4	1	1	8	4	3	4	1	1	4	1	2	9	1	1	1	1	1	1	4	2	7	3	7	3	1	1	8	9
	18	18	JAN	1	7	1	7	1	1	1	9	3	4	1	1	1	1	1	1	7	1	1	1	1	1	1	7	1	2	1	1	1	4	1	1	8	4	3	4	1	1	4	1	1	9	1	1	1	1	1	1	7	3	7	1	7	1	1	1	8	9
	19	19	JAN	1	9	3	7	1	1	1	9	3	4	1	1	1	1	1	1	7	3	1	1	1	1	1	7	1	9	1	1	6	7	1	1	8	4	3	4	1	1	4	1	6	7	1	1	1	1	1	1	7	3	7	1	7	1	1	1	7	3
	20	20	JAN	1	9	3	7	1	1	1	9	3	4	1	1	1	1	1	1	7	3	1	1	1	1	1	7	1	9	1	1	2	7	1	1	8	4	3	4	1	1	4	1	2	7	1	1	1	1	1	1	7	3	7	3	7	3	1	1	8	3
	21	21	JAN	6	9	3	7	1	1	6	9	3	4	1	1	1	1	1	1	7	3	1	1	1	1	1	7	3	9	1	1	2	1	1	1	8	4	3	4	1	1	4	1	2	1	1	1	1	1	1	1	7	3	7	3	7	3	1	1	7	3
	22	22	JAN	6	9	3	8	1	1	6	9	3	4	1	1	1	1	1	1	7	3	1	1	1	1	1	8	6	9	1	1	2	4	1	1	8	4	3	4	1	1	4	1	2	7	1	1	1	1	1	1	8	3	8	6	8	6	1	1	7	3
	23	23	JAN	6	2	1	8	1	1	6	7	3	4	1	1	1	1	1	1	6	3	1	1	1	1	1	8	6	9	1	1	6	7	1	1	8	4	3	4	1	1	4	1	6	7	1	1	1	1	1	1	8	3	8	6	8	6	1	1	8	3
	24	24	JAN	6	2	1	8	1	1	6	7	3	4	1	1	1	1	1	1	1	3	1	1	1	1	1	8	6	9	1	1	6	7	1	1	8	4	3	4	1	1	4	1	6	7	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	3
	25	25	JAN	6	2	3	8	1	1	6	4	3	4	1	1	1	1	1	1	1	3	1	1	1	1	2	8	6	2	1	1	6	5	1	1	8	4	3	4	1	1	4	1	6	5	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	2
	26	26	JAN	6	2	3	8	1	1	6	4	3	4	1	1	1	1	1	1	1	3	1	1	1	1	2	8	6	2	1	1	2	1	1	1	8	4	3	4	1	1	4	1	2	1	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	2
	27	27	JAN	6	2	3	8	1	1	6	4	3	4	1	1	1	1	1	1	1	3	1	1	1	1	1	8	6	4	1	1	7	3	1	1	8	4	3	4	1	1	4	1	7	3	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	3
	28	28	JAN	6	2	3	8	1	1	6	4	3	4	1	1	1	1	1	1	1	2	1	1	1	1	1	8	6	2	1	1	5	4	1	1	8	4	3	4	1	1	4	1	5	4	1	1	1	1	1	1	8	3	8	6	8	6	1	1	1	2
	29	29	JAN	1	2	5	2	1	1	6	4	3	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	5	2	1	1	6	4	1	1	8	4	3	4	1	1	1	1	6	4	1	1	1	1	1	1	1	2	8	7	8	7	1	1	1	2
	30	30	JAN	1	2	5	2	1	1	1	4	3	4	1	1	1	1	1	1	1	2	1	1	1	1	1	3	5	3	1	1	2	3	1	1	8	4	3	4	1	1	1	1	2	3	1	1	1	1	1	1	9	2	8	7	8	7	1	1	1	2
	31	31	JAN	1	3	1	6	1	1	1	4	3	4	1	1	1	1	1	1	1	2	1	1	1	1	1	3	7	3	1	1	1	4	1	1	8	4	3	4	1	1	1	1	1	4	1	1	1	1	1	1	8	7	2	7	2	7	1	1	1	2
	32	01	FEB	1	2	1	6	1	1	1	4	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	7	6	1	1	7	4	1	1	8	4	2	4	1	1	1	1	7	4	1	1	1	1	1	1	9	7	2	7	2	7	1	1	1	2
	33	02	FEB	7	2	8	6	1	1	3	2	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	7	6	1	1	8	6	1	1	8	4	2	4	1	1	1	1	8	6	1	1	1	1	1	1	9	7	2	7	2	7	1	1	1	2
	34	03	FEB	7	2	3	6	1	1	3	2	2	4	1	1	1	1	1	1	6	2	1	1	1	1	1	6	7	6	1	1	8	4	1	1	8	4	2	4	1	1	1	1	8	4	1	1	1	1	1	1	9	7	2	7	2	7	1	1	1	7
	35	04	FEB	7	2	3	2	1	1	7	2	2	4	1	1	1	1	1	1	3	2	1	1	1	1	1	2	7	6	1	1	8	4	1	1	8	4	2	4	1	1	1	1	8	4	1	1	1	1	1	1	2	1	2	7	2	7	1	1	3	5
	36	05	FEB	7	2	3	2	1	1	3	2	2	4	1	1	1	1	1	1	3	2	1	1	1	1	1	2	4	6	1	1	8	4	1	1	8	4	2	4	1	1	1	1	8	4	1	1	1	1	1	1	2	4	2	4	2	4	1	1	6	5
	37	06	FEB	7	2	8	2	1	1	7	2	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	2	7	6	1	1	8	6	1	1	8	4	2	4	1	1	1	1	8	6	1	1	1	1	1	1	7	4	2	1	2	4	1	1	3	5
	38	07	FEB	7	2	5	2	1	1	7	4	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	6	7	6	1	1	9	6	1	1	8	4	2	4	1	1	1	1	9	6	1	1	1	1	1	1	7	4	2	4	2	4	1	1	3	5
	39	08	FEB	7	6	5	2	1	1	7	4	2	4	1	1	1	1	1	1	1	5	1	1	1	1	1	2	7	6	1	1	7	4	1	1	8	4	2	4	1	1	1	1	7	4	1	1	1	1	1	1	8	9	2	9	2	7	1	1	7	5
	40	09	FEB	7	6	1	2	1	1	7	4	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	2	7	6	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	8	5	8	7	2	7	1	1	7	5
	41	10	FEB	4	6	3	6	1	1	7	6	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	1	4	6	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	7	2	6	4	6	4	1	1	4	5
	42	11	FEB	7	6	8	9	1	1	1	6	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	1	4	3	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	7	2	6	1	6	1	1	1	4	5
	43	12	FEB	7	6	1	9	1	1	7	6	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	1	7	3	1	1	6	4	1	1	8	4	2	4	1	1	1	1	6	4	1	1	1	1	1	1	9	2	8	7	8	1	1	1	4	5
	44	13	FEB	7	6	1	9	1	1	7	3	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	1	1	3	1	1	2	3	1	1	8	4	2	4	1	1	1	1	2	3	1	1	1	1	1	1	9	1	8	1	8	1	1	1	4	5
	45	14	FEB	7	3	1	8	1	1	7	6	2	4	1	1	1	1	1	1	3	5	1	1	1	1	1	8	7	3	1	1	2	6	1	1	8	4	2	4	1	1	1	1	2	6	1	1	1	1	1	1	8	5	8	7	8	1	1	1	8	5
	46	15	FEB	1	6	1	8	1	1	2	6	2	4	1	1	1	1	1	1	3	7	1	1	1	1	1	8	7	3	1	1	2	3	1	1	8	4	2	4	1	1	1	1	2	3	1	1	1	1	1	1	9	5	8	1	8	1	1	1	8	5
	47	16	FEB	1	6	1	9	1	1	1	6	2	4	1	1	1	1	1	1	9	1	1	1	1	1	1	1	1	6	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	9	5	9	1	9	1	1	1	9	5
	48	17	FEB	4	2	3	9	1	1	1	5	2	4	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	3	1	1	8	4	1	1	8	4	2	4	1	1	1	1	8	4	1	1	1	1	1	1	9	1	9	1	9	1	1	1	4	1
	49	18	FEB	4	8	8	9	1	1	4	5	2	4	1	1	1	1	1	1	9	4	1	1	1	1	1	1	4	9	1	1	8	7	1	1	3	4	2	4	1	1	1	1	8	7	1	1	1	1	1	1	9	1	9	4	9	4	1	1	4	2
	50	19	FEB	4	5	1	5	1	1	4	5	2	4	1	1	1	1	1	1	9	2	1	1	1	1	1	5	4	5	1	1	6	9	1	1	3	4	2	4	1	1	1	1	6	9	1	1	1	1	1	1	9	2	5	4	5	4	1	1	4	2
	51	20	FEB	4	5	1	5	1	1	4	5	2	4	1	1	1	1	1	1	6	8	1	1	1	1	1	5	4	5	1	1	6	4	1	1	3	4	2	4	1	1	1	1	6	4	1	1	1	1	1	1	9	2	5	4	5	4	1	1	4	2
	52	21	FEB	4	5	1	5	1	1	1	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	6	1	1	2	3	1	1	3	4	2	4	1	1	1	1	2	3	1	1	1	1	1	1	1	2	5	4	5	4	1	1	4	2
	53	22	FEB	4	5	3	5	1	1	4	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	6	1	1	8	5	1	1	3	4	2	4	1	1	1	1	8	5	1	1	1	1	1	1	1	2	5	4	5	4	1	1	1	5
	54	23	FEB	4	5	1	5	1	1	4	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	5	1	1	1	5	1	1	3	4	2	4	1	1	1	1	1	5	1	1	1	1	1	1	1	2	5	4	5	4	1	1	4	2
	55	24	FEB	4	5	1	5	1	1	1	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	5	1	1	8	4	1	1	3	4	2	4	1	1	1	1	8	4	1	1	1	1	1	1	1	2	5	4	5	4	1	1	4	6
	56	25	FEB	4	5	8	5	1	1	1	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	5	4	5	1	1	6	5	1	1	3	4	2	4	1	1	1	1	6	5	1	1	1	1	1	1	1	6	5	7	5	7	1	1	4	6
	57	26	FEB	7	2	3	2	1	1	1	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	7	5	1	1	2	5	1	1	3	4	2	4	1	1	1	1	2	5	1	1	1	1	1	1	1	6	5	7	5	7	1	1	1	6
	58	27	FEB	1	2	3	2	1	1	1	2	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	7	5	1	1	6	5	1	1	3	4	2	4	1	1	1	1	6	5	1	1	1	1	1	1	1	3	2	7	2	7	1	1	1	3
	59	28	FEB	7	2	1	2	1	1	1	2	2	4	1	1	1	1	1	1	1	3	1	1	1	1	1	2	7	5	1	1	6	2	1	1	3	4	2	4	1	1	1	1	6	2	1	1	1	1	1	1	1	3	2	7	2	7	1	1	1	3
	60	01	MAR	1	2	1	2	1	1	1	2	6	1	1	1	1	1	1	1	1	7	1	1	1	1	1	2	4	5	1	1	6	9	1	1	3	4	6	1	1	1	1	1	6	9	1	1	1	1	1	1	1	3	2	6	2	4	1	1	1	6
	61	02	MAR	4	2	1	2	1	1	4	9	6	1	1	1	1	1	1	1	5	3	1	1	1	1	1	2	4	5	1	1	8	4	1	1	3	4	6	1	1	1	1	1	8	4	1	1	1	1	1	1	1	3	2	4	2	4	1	1	4	6
	62	03	MAR	4	2	3	2	1	1	4	9	6	1	1	1	1	1	1	1	5	1	1	1	1	1	1	2	4	5	1	1	2	9	1	1	3	4	6	1	1	1	1	1	2	9	1	1	1	1	1	1	2	3	2	4	2	4	1	1	4	3
	63	04	MAR	4	2	3	2	1	1	4	9	6	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	4	2	1	1	2	7	1	1	3	4	6	1	1	1	1	1	2	7	1	1	1	1	1	1	2	8	2	4	2	4	1	1	4	8
	64	05	MAR	4	5	3	6	1	1	4	9	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	6	1	1	6	4	1	1	3	4	6	1	1	1	1	1	6	4	1	1	1	1	1	1	2	3	2	4	2	4	1	1	4	8
	65	06	MAR	4	2	3	6	1	1	4	9	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	2	4	6	1	1	6	9	1	1	3	4	6	1	1	1	1	1	6	9	1	1	1	1	1	1	6	8	2	4	2	4	1	1	4	8
	66	07	MAR	4	2	3	6	1	1	4	9	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	9	1	1	6	3	1	1	3	4	6	1	1	1	1	1	6	3	1	1	1	1	1	1	6	8	6	4	6	4	1	1	4	8
	67	08	MAR	4	6	1	6	1	1	4	3	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	6	1	1	8	6	1	1	3	4	6	1	1	1	1	1	8	6	1	1	1	1	1	1	6	8	6	4	6	4	1	1	4	8
	68	09	MAR	4	6	3	6	1	1	4	5	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	6	1	1	2	5	1	1	3	4	6	1	1	1	1	1	2	5	1	1	1	1	1	1	6	8	6	4	6	4	1	1	4	8
	69	10	MAR	4	6	3	6	1	1	4	5	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	1	6	1	1	2	1	1	1	3	4	6	1	1	1	1	1	2	1	1	1	1	1	1	1	6	8	6	1	6	8	1	1	4	8
	70	11	MAR	7	6	3	6	1	1	7	6	6	1	1	1	1	1	1	1	4	8	1	1	1	1	1	6	7	6	1	1	2	4	1	1	3	4	6	1	1	1	1	1	2	4	1	1	1	1	1	1	4	8	6	1	6	1	1	1	4	8
	71	12	MAR	4	6	3	6	1	1	4	6	6	1	1	1	1	1	1	1	9	8	1	1	1	1	1	1	4	6	1	1	7	4	1	1	3	4	6	1	1	1	1	1	7	4	1	1	1	1	1	1	4	8	6	1	6	1	1	1	4	8
	72	13	MAR	4	6	8	6	1	1	4	6	6	1	1	1	1	1	1	1	6	8	1	1	1	1	1	6	4	6	1	1	8	6	1	1	3	4	6	1	1	1	1	1	8	6	1	1	1	1	1	1	4	2	6	1	6	1	1	1	4	2
	73	14	MAR	4	6	8	6	1	1	7	6	6	1	1	1	1	1	1	1	9	8	1	1	1	1	1	6	4	6	1	1	8	6	1	1	3	4	6	1	1	1	1	1	8	6	1	1	1	1	1	1	4	2	6	1	6	1	1	1	7	2
	74	15	MAR	7	6	8	6	1	1	7	5	6	1	1	1	1	1	1	1	7	8	1	1	1	1	1	1	8	6	1	1	2	7	1	1	3	4	6	1	1	1	1	1	2	7	1	1	1	1	1	1	4	2	4	8	6	1	1	1	7	5
	75	16	MAR	4	5	8	7	1	1	4	5	6	1	1	1	1	1	1	1	7	8	1	1	1	1	1	1	4	5	1	1	6	7	1	1	3	1	6	1	1	1	1	1	6	7	1	1	1	1	1	1	4	6	5	8	5	1	1	1	7	6
	76	17	MAR	4	5	3	9	1	1	4	5	6	1	1	1	1	1	1	1	7	8	1	1	1	1	1	1	4	5	1	1	6	9	1	1	3	1	6	1	1	1	1	1	6	9	1	1	1	1	1	1	4	9	5	9	5	1	1	1	4	6
	77	18	MAR	4	5	3	9	1	1	4	5	6	1	1	1	1	1	1	1	2	5	1	1	1	1	1	1	4	5	1	1	6	4	1	1	3	1	6	1	1	1	1	1	6	4	1	1	1	1	1	1	4	9	5	9	5	9	1	1	4	9
	78	19	MAR	4	2	3	9	1	1	4	5	6	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	4	2	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	4	9	2	9	2	9	1	1	4	9
	79	20	MAR	4	2	1	2	1	1	4	2	6	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	4	3	1	1	6	9	1	1	3	1	6	1	1	1	1	1	6	9	1	1	1	1	1	1	3	9	3	9	2	1	1	1	4	9
	80	21	MAR	4	2	1	2	1	1	4	2	6	1	1	1	1	1	1	1	3	4	1	1	1	1	1	2	4	3	1	1	4	3	1	1	3	1	6	1	1	1	1	1	4	3	1	1	1	1	1	1	3	9	2	1	2	1	1	1	4	9
	81	22	MAR	4	2	1	2	1	1	4	2	6	1	1	1	1	1	1	1	3	4	1	1	1	1	1	2	4	2	1	1	8	7	1	1	3	1	6	1	1	1	1	1	8	7	1	1	1	1	1	1	2	9	2	4	2	4	1	1	4	5
	82	23	MAR	4	2	3	2	1	1	4	2	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	2	1	1	6	4	1	1	3	1	6	1	1	1	1	1	6	4	1	1	1	1	1	1	2	1	2	1	2	1	1	1	4	6
	83	24	MAR	4	6	3	2	1	1	4	6	6	1	1	1	1	1	1	1	9	5	1	1	1	1	1	1	4	2	1	1	2	6	1	1	3	1	6	1	1	1	1	1	2	6	1	1	1	1	1	1	2	7	2	1	2	1	1	1	4	5
	84	25	MAR	4	6	4	9	1	1	4	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	1	4	1	1	3	1	6	1	1	1	1	1	1	4	1	1	1	1	1	1	2	7	6	1	6	1	1	1	4	5
	85	26	MAR	4	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	4	1	6	1	6	1	1	1	4	5
	86	27	MAR	4	6	3	6	1	1	9	6	6	1	1	1	1	1	1	1	9	1	1	1	1	1	1	1	4	6	1	1	9	4	1	1	3	1	6	1	1	1	1	1	9	4	1	1	1	1	1	1	2	7	6	1	6	4	1	1	4	6
	87	28	MAR	9	6	5	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	2	6	1	1	6	7	1	1	3	1	6	1	1	1	1	1	6	7	1	1	1	1	1	1	2	6	2	9	8	7	1	1	4	6
	88	29	MAR	9	6	5	6	1	1	9	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	2	1	1	1	3	1	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	6	8	9	8	4	1	1	4	6
	89	30	MAR	4	6	3	9	1	1	4	6	6	1	1	1	1	1	1	1	9	6	1	1	1	1	1	1	4	8	1	1	2	3	1	1	3	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	90	31	MAR	4	6	3	9	1	1	2	6	6	1	1	1	1	1	1	1	9	2	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	1	7	8	4	8	4	1	1	4	6
	91	01	APR	2	6	2	9	1	1	2	6	6	7	1	1	1	1	1	1	8	2	1	1	1	1	1	1	2	8	1	1	5	4	1	1	3	1	6	7	1	1	1	1	5	4	1	1	1	1	1	1	1	7	8	2	8	2	1	1	2	6
	92	02	APR	4	6	3	9	1	1	2	6	6	7	1	1	1	1	1	1	8	4	1	1	1	1	1	1	4	6	1	1	2	9	1	1	3	1	6	7	1	1	1	1	2	9	1	1	1	1	1	1	8	3	8	4	8	4	1	1	2	6
	93	03	APR	4	6	3	9	1	1	2	9	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	4	6	1	1	2	4	1	1	3	1	6	7	1	1	1	1	2	4	1	1	1	1	1	1	8	9	8	7	8	7	1	1	4	6
	94	04	APR	7	8	3	6	1	1	2	3	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	2	6	1	1	5	1	1	1	3	1	6	7	1	1	1	1	5	1	1	1	1	1	1	1	8	9	8	7	8	7	1	1	7	3
	95	05	APR	2	6	3	9	1	1	2	5	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	2	6	1	1	2	4	1	1	3	1	6	7	1	1	1	1	2	4	1	1	1	1	1	1	8	9	8	7	8	7	1	1	2	6
	96	06	APR	2	8	3	4	1	1	2	5	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	2	8	1	1	2	9	1	1	3	1	6	7	1	1	1	1	2	9	1	1	1	1	1	1	8	9	8	2	8	2	1	1	2	6
	97	07	APR	4	1	4	9	1	1	2	1	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	4	6	1	1	2	5	1	1	3	1	6	7	1	1	1	1	2	5	1	1	1	1	1	1	8	9	8	4	8	4	1	1	4	6
	98	08	APR	4	1	4	9	1	1	4	1	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	4	6	1	1	6	1	1	1	3	1	6	7	1	1	1	1	6	1	1	1	1	1	1	1	1	9	1	7	1	4	1	1	4	6
	99	09	APR	4	6	4	9	1	1	4	6	6	7	1	1	1	1	1	1	6	9	1	1	1	1	1	1	4	6	1	1	8	5	1	1	3	1	6	7	1	1	1	1	8	5	1	1	1	1	1	1	8	9	1	4	8	4	1	1	4	6
	100	10	APR	4	6	3	9	1	1	4	6	6	7	1	1	1	1	1	1	3	9	1	1	1	1	1	1	4	6	1	1	6	9	1	1	3	1	6	7	1	1	1	1	6	9	1	1	1	1	1	1	8	9	6	4	8	4	1	1	4	6
	101	11	APR	4	3	1	8	1	1	4	3	6	7	1	1	1	1	1	1	8	9	1	1	1	1	1	8	4	3	1	1	2	8	1	1	3	1	6	7	1	1	1	1	2	8	1	1	1	1	1	1	8	9	8	4	8	4	1	1	4	6
	102	12	APR	4	6	3	9	1	1	4	6	6	7	1	1	1	1	1	1	3	9	1	1	1	1	1	1	4	6	1	1	2	6	1	1	3	1	6	7	1	1	1	3	2	6	1	1	1	1	1	1	1	4	5	4	8	4	1	1	4	6
