C	area	va	weekly
	VARIABLES	BEGIN	END
	122	1	52

C	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	9	418059802	400045923	28524191	349308090	436803753	51.83	5.16	50.00	66.43	10044043	0	0	0	0	0	0	0	11216456	383180	10534465	11571215	752824	177584	542124	1001916	0	0	0	0	0	0	0	0	0	0	0	0	6725333	186857	6480000	7008000	0	0	0	0	0	0	0	0	8723	24671	0	78503	3279229	579085	2248562	3996936	0	0	0	0	450347	102269	302830	606344	0	0	0	0	50.83	6.31	39.98	59.70	306227	72930	220859	407922	0	0	0	0	40.00	0	40.00	40.00	18013879	4090760	12113194	24253768	0	0	0	0	0	0	0	0	0	0	0	0	0	13517333	423438	12720000	14232000	3504048	508576	2519027	4207438	3504048	508576	2519027	4207438	0	0	0	0	11135	416	10241	11617
	10	410386849	392752764	28717468	331587944	427065448	52.34	5.18	50.00	66.79	9784395	0	0	0	0	0	0	0	10962786	415289	9942093	11335098	723735	150251	506016	947016	0	0	0	0	0	0	0	0	0	0	0	0	6506667	411739	5856000	7272000	0	0	0	0	0	0	0	0	14761	32770	0	106176	3276771	666354	2230159	4272227	0	0	0	0	440852	88682	278679	537062	0	0	0	0	49.30	6.25	37.77	57.74	281454	58431	196777	368284	0	0	0	0	40.00	0	40.00	40.00	17634085	3547260	11147151	21482485	0	0	0	0	0	0	0	0	0	0	0	0	0	13248000	430962	12552000	14064000	3449801	599685	2317597	4297841	3449801	599685	2317597	4297841	0	0	0	0	10900	481	9794	11640
	11	405316339	388281441	26094440	343110827	426443026	50.40	0.85	50.00	52.68	9644343	0	0	0	0	0	0	0	10831008	400271	10233874	11564266	723739	150247	506016	947016	0	0	0	0	0	0	0	0	0	0	0	0	6392000	266293	5976000	6912000	0	0	0	0	0	0	0	0	3054	7233	0	23153	3286343	456276	2460617	4006215	0	0	0	0	425872	95147	256784	598344	0	0	0	0	47.75	6.21	35.74	55.35	281454	58431	196777	368285	0	0	0	0	40.00	0	40.00	40.00	17034898	3805873	10271355	23933779	0	0	0	0	0	0	0	0	0	0	0	0	0	13314667	434184	12384000	13776000	3633270	411348	2921622	4249638	3633270	411348	2921622	4249637	0	0	0	0	10884	489	9821	11340
	12	383233883	368251436	32505134	301318214	409041819	50.09	0.56	49.55	51.61	9564102	0	0	0	0	0	0	0	10442068	467499	9406328	10977040	723750	150250	506001	947016	0	0	0	0	0	0	0	0	0	0	0	0	6596364	173277	6264000	6809203	0	0	0	0	0	0	0	0	303	857	0	2726	2747089	692841	1259922	3606874	0	0	0	0	374561	63539	270003	457725	0	0	0	0	46.52	6.36	33.85	54.85	281454	58431	196777	368287	0	0	0	0	40.00	0	40.00	40.00	14982447	2541542	10800139	18308987	0	0	0	0	0	0	0	0	0	0	0	0	0	13349333	299712	12888000	13824000	4005577	730635	2774399	5038595	4005577	730635	2774400	5038595	0	0	0	0	10633	805	8690	11304
	13	375214187	360130964	27822800	318694563	415209724	49.91	0.25	49.20	50.00	9497198	0	0	0	0	0	0	0	10310067	498746	9623642	11260430	739742	145947	525408	916579	0	0	0	0	0	0	0	0	0	0	0	0	6635418	238158	6120000	6894761	0	0	0	0	0	0	0	0	0	0	0	0	2557827	552772	1686691	3482594	0	0	0	0	377081	92553	185738	520753	0	0	0	0	45.67	6.64	32.39	55.10	285408	56400	202599	354448	0	0	0	0	40.00	0	40.00	40.00	15083223	3702108	7429502	20830110	0	0	0	0	0	0	0	0	0	0	0	0	0	13357333	327338	12960000	13992000	4164089	523362	3381406	4908887	4164089	523363	3381405	4908887	0	0	0	0	10391	651	9173	11553
	14	352407463	335545027	21494478	306298934	363400613	49.94	0.12	49.64	50.00	9242993	0	0	0	0	0	0	0	9974593	389765	9044410	10423210	835804	186933	642264	1174697	0	0	0	0	0	0	0	0	0	0	0	0	6687760	277720	6216000	7248000	0	0	0	0	0	0	0	0	0	0	0	0	2029469	534213	1355917	2916812	0	0	0	0	421561	97636	211598	521870	0	0	0	0	44.53	6.62	30.84	53.55	309132	69141	237552	434490	0	0	0	0	40.00	0	40.00	40.00	16862436	3905423	8463937	20874805	0	0	0	0	0	0	0	0	0	0	0	0	0	13461333	442168	12624000	14208000	4744105	728930	3497601	5630302	4744105	728930	3497601	5630302	0	0	0	0	9807	775	8817	11052
	15	335397044	320644873	23715132	274609412	358540373	49.80	0.30	49.29	50.18	8893354	0	0	0	0	0	0	0	9552184	375816	8831274	10064021	835806	186934	642264	1174740	0	0	0	0	0	0	0	0	0	0	0	0	6468752	318178	5928000	6971430	0	0	0	0	0	0	0	0	43	122	0	388	1884702	619432	907358	2814752	0	0	0	0	362880	73476	209307	483332	0	0	0	0	43.74	6.81	29.98	51.99	309132	69139	237552	434489	0	0	0	0	40.62	1.74	40.00	45.54	14752171	3192145	8372274	19333286	0	0	0	0	0	0	0	0	0	0	0	0	0	13328000	478932	12600000	14088000	4974503	777025	3856860	6366884	4974503	777025	3856861	6366884	0	0	0	0	9232	752	7680	10323
	16	320143597	306738570	14923958	281816720	330912482	49.73	0.32	49.20	50.00	8680641	0	0	0	0	0	0	0	9214137	159408	8982168	9528209	835800	186930	642264	1174740	0	0	0	0	0	0	0	0	0	0	0	0	6409972	196035	5976000	6672000	0	0	0	0	0	0	0	0	0	0	0	0	1647791	346117	1034617	2001122	0	0	0	0	320574	65905	207669	431325	0	0	0	0	43.50	6.81	29.59	50.87	309132	69139	237552	434487	0	0	0	0	41.81	5.11	40.00	56.27	13405028	3248627	8306766	18829161	0	0	0	0	0	0	0	0	0	0	0	0	0	13256000	455649	12312000	13752000	5198237	582743	4193961	6023501	5198237	582743	4193961	6023501	0	0	0	0	8941	564	8049	9827
	17	308851484	296269619	17622614	263291970	320576734	49.35	0.73	47.50	50.00	8680000	0	0	0	0	0	0	0	9030539	279351	8564377	9537895	835792	186936	642271	1174740	0	0	0	0	0	0	0	0	0	0	0	0	6570211	242058	6096000	6864000	0	0	0	0	0	0	0	0	0	0	0	0	1326245	355916	703155	2099951	0	0	0	0	298291	54226	204709	373210	0	0	0	0	43.48	6.99	29.53	50.06	309131	69139	237550	434486	0	0	0	0	42.10	5.94	40.00	58.90	12581865	3008259	8188370	18523884	0	0	0	0	0	0	0	0	0	0	0	0	0	13498667	317210	13008000	14256000	5602211	312606	5268049	6290724	5602211	312606	5268049	6290725	0	0	0	0	8560	657	7495	9683
	18	279358228	267062137	20611214	240803013	309881925	47.08	1.77	43.75	50.00	8329291	0	0	0	0	0	0	0	8594242	424931	7828581	9334165	978279	248711	561204	1294116	0	0	0	0	0	0	0	0	0	0	0	0	6569930	204835	6292160	6906062	0	0	0	0	0	0	0	0	0	0	0	0	742291	427832	173767	1728838	0	0	0	0	303741	59791	175712	385882	0	0	0	0	43.94	7.09	30.32	50.75	430035	110060	244684	570990	0	0	0	0	40.34	0.97	40.00	43.10	12296092	2503325	7028464	15435275	0	0	0	0	0	0	0	0	0	0	0	0	0	13546667	341500	13128000	14232000	6234445	632202	5063162	7235925	6234445	632202	5063161	7235926	0	0	0	0	7766	559	7188	9074
	19	266143411	254901333	19996135	227630724	289812083	44.96	3.52	36.52	48.66	8220425	0	0	0	0	0	0	0	8366346	381700	7723005	8918257	1002034	265988	545328	1356768	0	0	0	0	0	0	0	0	0	0	0	0	6617447	195614	6449674	7123627	0	0	0	0	0	0	0	0	0	0	0	0	465814	349474	13513	1132783	0	0	0	0	281052	44792	175171	333835	0	0	0	0	45.60	6.95	33.43	52.83	450186	119502	245000	609553	0	0	0	0	40.00	0	40.00	40.00	11242078	1791678	7006853	13353412	0	0	0	0	0	0	0	0	0	0	0	0	0	13653333	344733	13008000	14112000	6570073	710620	5213133	7614056	6570073	710620	5213133	7614057	0	0	0	0	7455	442	6940	8376
	20	262181900	251621847	22438169	212066418	284010986	45.03	3.78	36.07	48.66	8042509	0	0	0	0	0	0	0	8230404	423428	7486800	8934719	1002025	265995	545328	1356768	0	0	0	0	0	0	0	0	0	0	0	0	6439804	276935	5833981	6826608	0	0	0	0	0	0	0	0	0	0	0	0	524574	349050	8716	1030830	0	0	0	0	264001	44659	183288	328357	0	0	0	0	47.46	7.18	36.43	55.72	450186	119503	245000	609553	0	0	0	0	40.00	0	40.00	40.00	10560053	1786350	7331538	13134278	0	0	0	0	0	0	0	0	0	0	0	0	0	13394667	443325	12384000	13920000	6430289	673666	5313996	7352477	6430289	673666	5313996	7352477	0	0	0	0	7343	495	6421	8067
	21	250493062	240988973	16091545	212134772	261751290	43.14	4.06	35.89	47.32	7864255	0	0	0	0	0	0	0	7971863	287245	7550104	8342516	1002025	265989	545328	1356723	0	0	0	0	0	0	0	0	0	0	0	0	6374855	328426	5906049	6807047	0	0	0	0	0	0	0	0	0	0	0	0	357381	270335	7237	707953	0	0	0	0	237602	32281	169269	284981	0	0	0	0	49.35	7.42	39.59	58.60	450186	119503	245000	609553	0	0	0	0	40.00	0	40.00	40.00	9504089	1291258	6770741	11399254	0	0	0	0	0	0	0	0	0	0	0	0	0	13602667	369177	12864000	13968000	6870431	536863	6155638	7894449	6870431	536863	6155638	7894449	0	0	0	0	7152	287	6617	7531
	22	239740915	230193272	11429928	210409530	248227939	42.25	2.01	37.50	44.64	7716805	0	0	0	0	0	0	0	7743407	291383	7484426	8357830	995279	224731	594768	1318704	0	0	0	0	0	0	0	0	0	0	0	0	6351905	253568	5953929	6710223	0	0	0	0	0	0	0	0	0	0	0	0	157532	88128	40441	337434	0	0	0	0	238691	51138	179836	346570	0	0	0	0	51.69	7.51	43.48	61.13	495012	109559	299288	654004	0	0	0	0	40.00	0	40.00	40.00	9547643	2045528	7193459	13862804	0	0	0	0	0	0	0	0	0	0	0	0	0	13453333	360464	12792000	13824000	6943896	373700	6119043	7409441	6943896	373700	6119043	7409441	0	0	0	0	6875	271	6391	7306
	23	231544850	221648260	14515522	200076987	244053062	40.32	4.42	35.00	46.70	7390977	0	0	0	0	0	0	0	7486353	274407	7046684	7811442	986281	188636	660744	1268064	0	0	0	0	0	0	0	0	0	0	0	0	6065638	170891	5716485	6335547	0	0	0	0	0	0	0	0	0	0	0	0	187019	212717	0	552001	0	0	0	0	247415	43172	190503	336596	0	0	0	0	54.52	7.55	45.81	64.36	554782	106100	371669	713272	0	0	0	0	40.00	0	40.00	40.00	9896590	1726868	7620100	13463847	0	0	0	0	0	0	0	0	0	0	0	0	0	13461333	268792	13080000	13872000	7208677	567299	6415627	7937066	7208677	567298	6415627	7937066	0	0	0	0	6860	124	6679	7121
	24	213745433	205770266	18375194	177360826	234722726	38.03	3.47	35.00	43.66	6971602	0	0	0	0	0	0	0	7033461	535128	6292517	7809405	986276	188633	660744	1268064	0	0	0	0	0	0	0	0	0	0	0	0	5772255	389975	5067452	6286276	0	0	0	0	0	0	0	0	0	0	0	0	74827	114806	0	309319	0	0	0	0	200104	52382	111996	305155	0	0	0	0	57.90	7.90	48.14	68.78	554782	106100	371668	713269	0	0	0	0	39.64	0.90	37.10	40.00	7975168	2085955	4479832	12206201	0	0	0	0	0	0	0	0	0	0	0	0	0	13440000	426933	12792000	14184000	7592918	841501	6218201	8780548	7592918	841501	6218202	8780547	0	0	0	0	6736	207	6445	7005
	25	211222567	203992420	8823857	191705262	219755814	37.11	2.83	35.00	43.39	6949116	0	0	0	0	0	0	0	6996850	350489	6276416	7401177	986280	188617	660744	1268012	0	0	0	0	0	0	0	0	0	0	0	0	5770778	208479	5473230	6186938	0	0	0	0	0	0	0	0	0	0	0	0	40304	72623	0	236524	0	0	0	0	199489	50934	112930	277496	0	0	0	0	61.49	8.13	50.76	73.27	554782	106100	371669	713268	0	0	0	0	36.74	4.61	30.00	40.00	7230147	1786629	4517201	10357891	0	0	0	0	0	0	0	0	0	0	0	0	0	13394667	433397	12744000	14160000	7583585	596856	6728638	8525127	7583585	596856	6728638	8525126	0	0	0	0	6661	189	6348	6970
	26	211314663	203813320	13540359	180946880	218604901	36.93	2.67	35.00	42.77	6958285	0	0	0	0	0	0	0	6982122	488804	6408392	7684309	961747	170933	657139	1218624	0	0	0	0	0	0	0	0	0	0	0	0	5785288	384652	5169911	6244265	0	0	0	0	0	0	0	0	0	0	0	0	26565	36855	0	99336	0	0	0	0	208522	74846	120666	324912	0	0	0	0	65.00	8.15	53.80	77.15	532843	95491	363286	676281	0	0	0	0	36.67	4.71	30.00	40.00	7501344	2503127	4637495	12452776	0	0	0	0	0	0	0	0	0	0	0	0	0	13482667	461202	12576000	14064000	7670814	619248	6368358	8582089	7670814	619249	6368358	8582089	0	0	0	0	6645	244	6199	6977
	27	212089723	203174944	18011576	177680602	230164935	37.68	3.31	35.00	43.30	6925052	0	0	0	0	0	0	0	6852323	456327	6199223	7524894	814579	102961	635460	946176	0	0	0	0	0	0	0	0	0	0	0	0	5752503	457268	5076589	6388403	0	0	0	0	0	0	0	0	0	0	0	0	36747	64511	0	206006	0	0	0	0	248495	61611	155859	340491	0	0	0	0	67.19	7.74	56.94	78.89	401205	50714	312990	466011	0	0	0	0	36.67	4.71	30.00	40.00	8914779	1791006	6234379	12167728	0	0	0	0	0	0	0	0	0	0	0	0	0	13613333	285943	13272000	14064000	7824084	580865	6784147	8915411	7824084	580864	6784147	8915411	0	0	0	0	6617	188	6278	6844
	28	206033610	197884547	18807879	173944748	224087145	37.18	3.21	35.00	43.48	6723781	0	0	0	0	0	0	0	6671093	477933	6071185	7260438	814571	102969	635460	946176	0	0	0	0	0	0	0	0	0	0	0	0	5575855	458862	4969850	6196733	0	0	0	0	0	0	0	0	0	0	0	0	54593	108314	0	350654	0	0	0	0	226075	58427	139181	301931	0	0	0	0	68.85	7.41	60.28	80.44	401205	50714	312987	466011	0	0	0	0	36.67	4.71	30.00	40.00	8149063	1904163	5567221	11255507	0	0	0	0	0	0	0	0	0	0	0	0	0	13450667	272731	13056000	13824000	7820219	651045	7012361	8790172	7820219	651045	7012361	8790171	0	0	0	0	6580	248	6039	6924
	29	212118294	203317441	13837887	177662374	232019839	37.05	3.05	35.00	42.86	6902916	0	0	0	0	0	0	0	6839396	351452	6115591	7388391	814571	102974	635460	946145	0	0	0	0	0	0	0	0	0	0	0	0	5721931	358788	5076068	6392211	0	0	0	0	0	0	0	0	0	0	0	0	60997	108372	0	332672	0	0	0	0	241897	40026	194871	298848	0	0	0	0	70.58	7.26	63.13	82.65	401205	50713	312988	466011	0	0	0	0	36.40	4.55	30.00	40.00	8800853	1729216	6126815	11631212	0	0	0	0	0	0	0	0	0	0	0	0	0	13432000	472203	12216000	13944000	7649072	664695	6483602	8867932	7649072	664695	6483602	8867932	0	0	0	0	6640	188	6195	6886
	30	216647097	207459537	12831176	185194563	222806458	36.40	2.16	35.00	42.32	7083378	0	0	0	0	0	0	0	6997381	399196	6257883	7516712	814555	102957	635460	946092	0	0	0	0	0	0	0	0	0	0	0	0	5889569	335512	5287098	6278371	0	0	0	0	0	0	0	0	0	0	0	0	26493	50536	0	166278	0	0	0	0	266765	64074	174777	355832	0	0	0	0	71.99	7.29	64.51	83.89	401205	50713	312987	466012	0	0	0	0	34.60	4.85	30.00	40.00	9187559	2386356	5374032	13293684	0	0	0	0	0	0	0	0	0	0	0	0	0	13392000	442683	12504000	13944000	7475939	431045	6737363	8089042	7475939	431045	6737363	8089042	0	0	0	0	6709	285	6073	7192
	31	219202719	211438635	12667005	192625612	229846477	37.99	3.47	35.00	43.75	7186363	0	0	0	0	0	0	0	6915209	379508	6289873	7383541	672928	141815	462960	957744	0	0	0	0	0	0	0	0	0	0	0	0	5960383	291996	5503589	6355812	0	0	0	0	0	0	0	0	0	0	0	0	56504	67835	0	177637	0	0	0	0	225393	50841	172331	312081	0	0	0	0	73.15	7.43	65.77	84.90	294428	59884	204375	413380	0	0	0	0	34.44	4.97	30.00	40.00	7764083	2147132	5286855	12483221	0	0	0	0	0	0	0	0	0	0	0	0	0	13690667	288912	13248000	14016000	7673779	362727	6883244	8344411	7673779	362726	6883244	8344411	0	0	0	0	6859	211	6306	7074
	32	216647751	209713183	15376435	186223043	237829881	37.18	3.33	35.00	44.82	7120787	0	0	0	0	0	0	0	6782127	430994	6103882	7214440	616275	168319	393960	971919	0	0	0	0	0	0	0	0	0	0	0	0	5902858	329720	5320658	6338753	0	0	0	0	0	0	0	0	0	0	0	0	62263	145843	0	472330	0	0	0	0	200730	52460	116430	279375	0	0	0	0	73.63	7.80	65.57	84.93	251717	68752	160927	396991	0	0	0	0	34.44	4.97	30.00	40.00	6934568	2134608	3492889	11174990	0	0	0	0	0	0	0	0	0	0	0	0	0	13666667	320022	13224000	14016000	7701546	655613	6655288	8647342	7701546	655613	6655287	8647341	0	0	0	0	6846	114	6622	7056
	33	217753533	210798478	12058487	188200853	228668084	38.00	3.33	35.00	43.12	7162025	0	0	0	0	0	0	0	6815551	350010	6088235	7228377	616270	168326	393966	971964	0	0	0	0	0	0	0	0	0	0	0	0	5939030	272743	5375472	6250895	0	0	0	0	0	0	0	0	0	0	0	0	58649	87614	0	264869	0	0	0	0	201603	46628	134533	274141	0	0	0	0	74.24	8.08	65.76	86.75	251716	68752	160926	396991	0	0	0	0	34.44	4.97	30.00	40.00	6955055	1964721	4036002	10965643	0	0	0	0	0	0	0	0	0	0	0	0	0	13330667	541300	11952000	13776000	7332988	748868	5757320	8159341	7332988	748868	5757320	8159341	0	0	0	0	6680	129	6458	6858
