C	area	id	daily
	VARIABLES	BEGIN	END
	58	1	364

C	daily			OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
	9	09	JAN	12	4	12	4	1	1	5	10	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	12	7	1	1	4	10	1	1	8	5	4	12	1	1	5	1	4	10	1	1	1	1	1	1	4	9	4	5	4	5	1	1	8	4
	10	10	JAN	12	4	5	4	1	1	5	10	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	7	1	1	5	8	1	1	8	5	4	12	1	1	5	1	5	8	1	4	1	1	1	4	4	9	4	5	4	5	1	1	8	10
	11	11	JAN	5	4	5	4	1	1	5	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	7	1	1	12	4	1	1	8	5	4	12	1	1	5	1	12	4	1	4	1	1	1	4	4	9	4	5	4	5	1	1	8	11
	12	12	JAN	5	4	5	4	1	1	5	4	4	12	1	1	1	1	1	1	4	6	1	1	1	1	1	4	5	7	1	1	3	7	1	1	8	5	4	12	1	1	5	1	6	7	1	1	1	1	1	1	4	9	4	5	4	5	1	1	8	4
	13	13	JAN	5	4	3	4	1	1	5	4	4	12	1	1	1	1	1	1	10	6	1	1	1	1	1	4	5	7	1	1	8	10	1	1	8	5	4	12	1	1	5	1	8	10	1	1	1	1	1	1	10	11	4	5	4	5	1	1	10	11
	14	14	JAN	5	4	3	4	1	1	5	7	4	12	1	1	1	1	1	1	10	6	1	1	1	1	1	4	5	7	1	1	2	5	1	1	8	5	4	12	1	1	5	1	2	9	1	1	1	1	1	1	10	11	4	5	4	5	1	1	10	11
	15	15	JAN	12	7	3	4	1	1	12	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	11	7	1	1	6	1	1	1	8	5	4	12	1	1	5	1	6	1	1	1	1	1	1	1	10	11	4	11	4	11	1	1	10	11
	16	16	JAN	1	7	11	10	1	1	1	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	1	7	1	1	11	8	1	1	8	5	4	12	1	1	5	1	11	8	1	1	1	1	1	1	10	11	10	1	10	1	1	1	10	11
	17	17	JAN	12	4	11	4	1	1	1	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	9	4	1	1	11	10	1	1	8	5	4	12	1	1	5	1	11	10	1	1	1	1	1	1	10	11	4	11	4	11	1	1	10	11
	18	18	JAN	1	7	11	4	1	1	1	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	9	4	1	1	9	8	1	1	8	5	4	12	1	1	5	1	5	8	1	1	1	1	1	1	10	11	10	1	10	1	1	1	12	11
	19	19	JAN	5	7	11	7	1	1	5	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	5	4	1	1	5	7	1	1	8	5	4	12	1	1	5	1	5	7	1	1	1	1	1	1	10	11	10	5	10	5	1	1	10	11
	20	20	JAN	5	7	3	7	1	1	5	7	4	12	1	1	1	1	1	1	8	9	1	1	1	1	1	4	9	4	1	1	2	5	1	1	8	5	4	12	1	1	5	1	2	1	1	1	1	1	1	1	10	1	7	5	7	5	1	1	12	11
	21	21	JAN	9	4	3	4	1	1	9	6	4	12	1	1	1	1	1	1	8	2	1	1	1	1	1	1	9	4	1	1	2	6	1	1	8	5	4	12	1	1	5	1	2	6	1	1	1	1	1	1	10	1	6	9	6	9	1	1	8	11
	22	22	JAN	9	4	3	6	1	1	9	4	4	12	1	1	1	1	1	1	8	9	1	1	1	1	1	6	9	4	1	1	2	5	1	1	8	5	4	12	1	1	5	1	2	5	1	1	1	1	1	1	8	11	6	9	6	9	1	1	8	11
	23	23	JAN	9	4	11	6	1	1	11	4	4	12	1	1	1	1	1	1	8	9	1	1	1	1	1	6	9	4	1	1	7	6	1	1	8	5	4	12	1	1	5	1	5	6	1	1	1	1	1	1	8	11	6	11	6	11	1	1	8	11
	24	24	JAN	10	4	11	6	1	1	10	12	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	6	10	4	1	1	11	6	1	1	8	5	4	12	1	1	5	1	11	6	1	1	1	1	1	1	12	9	6	11	6	11	1	1	8	9
	25	25	JAN	10	6	11	6	1	1	11	12	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	6	11	4	1	1	4	12	1	1	8	5	4	12	1	1	5	1	4	12	1	1	1	1	1	1	2	9	6	11	6	11	1	1	12	9
	26	26	JAN	7	6	3	2	1	1	7	9	4	12	1	1	1	1	1	1	2	3	1	1	1	1	1	2	7	4	1	1	4	9	1	1	8	5	4	12	1	1	1	1	4	9	1	1	1	1	1	1	2	1	2	1	2	11	1	1	2	1
	27	27	JAN	10	6	3	2	1	1	10	9	4	12	1	1	1	1	1	1	10	3	1	1	1	1	1	2	8	2	1	1	4	9	1	1	8	5	4	12	1	1	1	1	4	9	1	1	1	1	1	1	2	5	2	11	2	11	1	1	10	9
	28	28	JAN	8	2	3	2	1	1	8	9	4	12	1	1	1	1	1	1	10	3	1	1	1	1	1	2	8	2	1	1	6	1	1	1	8	5	4	12	1	1	1	1	6	1	1	1	1	1	1	1	2	3	2	3	2	3	1	1	10	3
	29	29	JAN	3	4	3	2	1	1	10	9	4	12	1	1	1	1	1	1	10	3	1	1	1	1	1	4	3	4	1	1	7	5	1	1	8	5	4	12	1	1	1	1	7	5	1	1	1	1	1	1	2	3	2	3	2	3	1	1	10	3
	30	30	JAN	10	4	3	4	1	1	10	5	4	12	1	1	1	1	1	1	10	6	1	1	1	1	3	2	3	9	1	1	10	1	1	1	8	5	4	12	1	1	1	1	10	1	1	1	1	1	1	1	2	3	2	3	4	3	1	1	10	5
	31	31	JAN	10	4	3	4	1	1	10	12	4	12	1	1	1	1	1	1	10	5	1	1	1	1	3	8	8	10	1	1	3	12	1	1	8	5	4	12	1	1	1	1	3	12	1	1	1	1	1	1	2	6	4	3	4	3	1	1	10	6
	32	01	FEB	10	4	3	7	1	1	10	9	4	10	1	1	1	1	1	1	10	5	1	1	1	1	3	4	12	9	1	1	3	8	1	1	8	5	4	10	1	1	1	1	3	8	1	1	1	1	1	1	10	5	4	3	4	3	1	1	10	4
	33	02	FEB	10	8	3	8	1	1	3	8	4	10	1	1	1	1	1	1	10	5	1	1	1	1	1	8	5	11	1	1	4	8	1	1	8	5	4	10	1	1	1	1	4	8	1	1	1	1	1	1	10	5	4	5	4	6	1	1	10	5
	34	03	FEB	12	8	3	8	1	1	7	8	4	10	1	1	1	1	1	1	10	5	1	1	1	1	1	8	12	8	1	1	2	5	1	1	8	5	4	10	1	1	1	1	2	5	1	1	1	1	1	1	10	5	8	5	8	3	1	1	10	6
	35	04	FEB	10	8	3	8	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	1	8	12	10	1	1	4	5	1	1	8	5	4	10	1	1	1	1	4	5	1	1	1	1	1	1	10	5	8	5	8	11	1	1	10	6
	36	05	FEB	12	8	12	3	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	1	9	12	8	1	1	9	6	1	1	8	5	4	10	1	1	1	1	9	6	1	1	1	1	1	1	10	5	9	11	9	12	1	1	10	6
	37	06	FEB	12	9	12	9	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	2	9	12	8	1	1	11	8	1	1	8	5	4	10	1	1	1	1	11	8	1	1	1	1	1	1	9	6	9	12	9	12	1	1	10	6
	38	07	FEB	10	9	12	3	1	1	11	9	4	10	1	1	1	1	1	1	10	4	1	1	1	1	6	9	12	7	1	1	6	8	1	1	8	5	4	10	1	1	1	1	6	8	1	1	1	1	1	1	10	6	9	12	9	12	1	1	10	9
	39	08	FEB	10	9	12	3	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	4	9	12	8	1	1	11	3	1	1	8	5	4	10	1	1	1	1	11	3	1	1	1	1	1	1	10	12	9	12	9	12	1	1	10	12
	40	09	FEB	10	5	12	3	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	1	9	12	5	1	1	2	10	1	1	8	5	4	10	1	1	1	1	2	10	1	1	1	1	1	1	10	2	9	12	9	12	1	1	10	12
	41	10	FEB	10	9	3	9	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	1	9	12	8	1	1	3	8	1	1	8	5	4	10	1	1	1	1	3	8	1	1	1	1	1	1	10	4	9	12	9	12	1	1	10	12
	42	11	FEB	3	9	3	9	1	1	7	8	4	10	1	1	1	1	1	1	8	4	1	1	1	1	1	9	7	8	1	1	1	5	1	1	8	5	4	10	1	1	1	1	1	5	1	1	1	1	1	1	9	6	9	7	9	7	1	1	10	12
	43	12	FEB	10	9	3	9	1	1	6	9	4	10	1	1	1	1	1	1	8	3	1	1	1	1	1	9	3	9	1	1	4	5	1	1	8	5	4	10	1	1	1	1	4	5	1	1	1	1	1	1	5	4	9	6	9	6	1	1	8	12
	44	13	FEB	10	9	3	9	1	1	3	9	4	10	1	1	1	1	1	1	8	3	1	1	1	1	1	9	10	9	1	1	11	1	1	1	8	6	4	10	1	1	1	1	11	1	1	1	1	1	1	1	5	4	9	7	9	10	1	1	8	12
	45	14	FEB	3	1	12	9	1	1	3	1	4	10	1	1	1	1	1	1	6	2	1	1	1	1	2	9	3	11	1	1	10	1	1	1	8	6	4	10	1	1	1	1	10	1	1	1	1	1	1	1	5	7	9	10	9	10	1	1	5	12
	46	15	FEB	10	9	3	9	1	1	3	1	4	10	1	1	1	1	1	1	8	2	1	1	1	1	2	9	10	11	1	1	2	1	1	1	8	6	4	10	1	1	1	1	2	1	1	1	1	1	1	1	5	2	9	10	9	10	1	1	8	1
	47	16	FEB	10	1	3	9	1	1	10	1	4	10	1	1	1	1	1	1	6	3	1	1	1	1	2	9	10	1	1	1	2	1	1	1	8	6	4	10	1	1	1	1	2	1	1	1	1	1	1	1	5	1	4	10	9	10	1	1	8	1
	48	17	FEB	10	1	3	4	1	1	10	1	4	10	1	1	1	1	1	1	8	10	1	1	1	1	1	1	10	1	1	1	9	7	1	1	8	6	4	10	1	1	1	1	9	7	1	1	1	1	1	1	4	1	5	10	5	10	1	1	8	1
	49	18	FEB	10	1	3	7	1	1	10	1	4	10	1	1	1	1	1	1	7	3	1	1	1	1	1	1	10	7	1	1	9	10	1	1	8	6	4	10	1	1	1	1	9	10	1	1	1	1	1	1	12	1	12	10	12	10	1	1	7	1
	50	19	FEB	10	1	3	4	1	1	3	1	4	10	1	1	1	1	1	1	7	3	1	1	1	1	1	4	10	7	1	1	11	5	1	1	8	6	4	10	1	1	1	1	11	5	1	1	1	1	1	1	7	10	4	10	4	10	1	1	7	1
	51	20	FEB	10	1	3	2	1	1	10	1	4	10	1	1	1	1	1	1	7	3	1	1	1	1	3	11	10	12	1	1	9	5	1	1	8	6	4	10	1	1	1	1	9	5	1	1	1	1	1	1	7	3	12	10	4	10	1	1	7	1
	52	21	FEB	10	11	3	6	1	1	10	1	4	10	1	1	1	1	1	1	7	3	1	1	1	1	3	11	10	7	1	1	3	1	1	1	8	6	4	10	1	1	1	1	3	1	1	1	1	1	1	1	4	3	11	10	11	10	1	1	8	2
	53	22	FEB	10	2	3	4	1	1	10	5	4	10	1	1	1	1	1	1	7	3	1	1	1	1	3	11	10	1	1	1	12	7	1	1	8	6	4	10	1	1	1	1	12	7	1	1	1	1	1	1	4	3	4	3	4	10	1	1	8	3
	54	23	FEB	10	2	3	2	1	1	10	2	4	10	1	1	1	1	1	1	8	3	1	1	1	1	1	2	10	6	1	1	1	12	1	1	8	6	4	10	1	1	1	8	1	12	1	1	1	1	1	1	8	3	2	3	2	3	1	1	8	3
	55	24	FEB	10	2	3	6	1	1	10	6	4	10	1	1	1	1	1	1	8	3	1	1	1	1	1	6	10	6	1	1	1	6	1	1	8	6	4	10	1	1	1	8	1	6	1	1	1	1	1	1	8	3	2	3	2	10	1	1	11	3
	56	25	FEB	10	6	3	6	1	1	11	6	4	10	1	1	1	1	1	1	8	2	1	1	1	1	1	6	10	6	1	1	4	10	1	1	8	6	4	10	1	1	1	1	4	10	1	1	1	1	1	1	8	3	6	10	6	3	1	1	8	5
	57	26	FEB	10	6	3	6	1	1	10	6	4	10	1	1	1	1	1	1	3	2	1	1	1	1	1	1	10	4	1	1	4	1	1	1	8	12	4	10	1	1	1	1	4	1	1	1	1	1	1	1	10	3	6	7	6	10	1	1	10	5
	58	27	FEB	10	5	3	6	1	1	11	6	4	10	1	1	1	1	1	1	1	2	1	1	1	1	1	6	10	1	1	1	2	6	1	1	8	12	4	10	1	1	1	1	2	6	1	1	1	1	1	1	11	3	6	10	6	10	1	1	11	4
	59	28	FEB	10	5	12	11	1	1	10	5	4	10	1	1	1	1	1	1	1	2	1	1	1	1	2	11	10	1	1	1	10	5	1	1	8	12	4	10	1	1	1	8	10	8	1	1	1	1	1	1	8	7	11	10	11	10	1	1	8	4
	60	01	MAR	10	9	1	11	1	1	10	5	4	1	1	1	1	1	1	1	3	2	1	1	1	1	1	11	10	3	1	1	10	8	1	1	8	12	4	1	1	1	1	8	10	8	1	1	1	1	1	1	8	4	11	10	11	10	1	1	8	4
	61	02	MAR	10	9	1	9	1	1	10	9	4	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	10	9	1	1	6	9	1	1	8	12	4	1	1	1	1	8	6	8	1	1	1	1	1	1	8	4	9	10	11	10	1	1	6	4
	62	03	MAR	10	2	12	9	1	1	10	2	4	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	10	2	1	1	11	2	1	1	8	12	4	1	1	1	1	8	11	8	1	1	1	1	1	1	6	4	2	10	2	10	1	1	6	4
	63	04	MAR	1	2	3	6	1	1	1	2	4	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	7	9	1	1	11	10	1	1	8	12	4	1	1	1	1	8	11	10	1	1	1	1	1	1	6	4	6	1	6	1	1	1	6	4
	64	05	MAR	7	2	3	6	1	1	7	2	4	1	1	1	1	1	1	1	3	5	1	1	1	1	1	1	7	2	1	1	2	9	1	1	8	12	4	1	1	1	1	8	2	8	1	1	1	1	1	1	3	4	2	7	2	7	1	1	6	4
	65	06	MAR	10	9	12	6	1	1	10	8	4	1	1	1	1	1	1	1	3	5	1	1	1	1	1	1	10	9	1	1	3	1	1	1	8	12	4	1	1	1	1	8	3	8	1	1	1	1	1	1	3	4	11	7	2	7	1	1	6	4
	66	07	MAR	1	8	3	11	1	1	3	5	4	1	1	1	1	1	1	1	3	5	1	1	1	1	1	11	10	8	1	1	3	5	1	1	8	12	4	1	1	1	1	8	3	8	1	1	1	1	1	1	6	7	8	7	2	7	1	1	6	5
	67	08	MAR	3	12	3	6	1	1	3	5	4	1	1	1	1	1	1	1	6	5	1	1	1	1	1	6	3	8	1	1	12	5	1	1	8	12	4	1	1	1	1	8	12	8	1	1	1	1	1	1	6	4	8	3	8	7	1	1	6	12
	68	09	MAR	3	10	3	10	1	1	4	10	4	1	1	1	1	1	1	1	6	5	1	1	1	1	1	1	12	8	1	1	11	8	1	1	8	12	4	1	1	1	1	8	11	8	1	1	1	1	1	1	8	12	9	4	8	4	1	1	8	12
	69	10	MAR	4	10	3	9	1	1	4	1	4	1	1	1	1	1	1	1	6	5	1	1	1	1	1	1	4	6	1	1	6	7	1	1	8	12	4	1	1	1	1	8	6	7	1	1	1	1	1	1	2	12	2	4	2	4	1	1	6	9
	70	11	MAR	4	11	3	9	1	1	4	1	4	1	1	1	1	1	1	1	2	5	1	1	1	1	1	1	5	3	1	1	2	1	1	1	8	12	4	1	1	1	1	8	2	8	1	1	1	1	1	1	2	7	10	7	11	4	1	1	1	9
	71	12	MAR	6	11	3	9	1	1	6	11	4	1	1	1	1	1	1	1	3	5	1	1	1	1	1	1	5	3	1	1	4	10	1	1	8	12	4	1	1	1	1	8	4	10	1	1	1	1	1	1	4	5	11	7	11	7	1	1	1	12
	72	13	MAR	6	11	3	4	1	1	6	5	4	1	1	1	1	1	1	1	3	12	1	1	1	1	1	1	6	3	1	1	4	1	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	4	5	8	6	8	6	1	1	1	12
	73	14	MAR	1	12	12	7	1	1	1	5	4	1	1	1	1	1	1	1	3	12	1	1	1	1	1	1	1	3	1	1	12	5	1	1	8	12	4	1	1	1	1	8	12	8	1	1	1	1	1	1	8	12	8	1	8	1	1	1	1	12
	74	15	MAR	1	5	12	7	1	1	1	5	4	1	1	1	1	1	1	1	8	12	1	1	1	1	1	1	1	3	1	1	6	5	1	1	8	12	4	1	1	1	1	8	6	8	1	1	1	1	1	1	8	3	8	1	5	1	1	1	8	12
	75	16	MAR	8	5	3	7	1	1	8	5	4	1	1	1	1	1	1	1	2	12	1	1	1	1	1	1	1	5	1	1	2	12	1	1	8	12	4	1	1	1	1	8	2	8	1	1	1	1	1	1	7	1	5	1	5	1	1	1	8	12
	76	17	MAR	1	5	3	9	1	1	8	5	4	1	1	1	1	1	1	1	2	12	1	1	1	1	1	1	1	5	1	1	6	12	1	1	8	12	4	1	1	1	1	8	6	12	1	1	1	1	1	1	4	1	5	1	5	1	1	1	1	12
	77	18	MAR	1	5	1	9	1	1	1	5	4	1	1	1	1	1	1	1	3	10	1	1	1	1	1	1	1	5	1	1	3	6	1	1	8	12	4	1	1	1	1	8	3	8	1	1	1	1	1	1	8	10	5	1	5	1	1	1	1	12
	78	19	MAR	1	5	3	9	1	1	1	5	4	1	1	1	1	1	1	1	2	10	1	1	1	1	1	1	1	5	1	1	1	6	1	1	8	12	4	1	1	1	1	8	1	8	1	1	1	1	1	1	6	10	5	1	5	1	1	1	1	12
	79	20	MAR	1	5	3	9	1	1	3	5	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	5	1	1	4	12	1	1	8	12	4	1	1	1	1	8	4	12	1	1	1	1	1	1	8	1	8	1	8	1	1	1	1	12
	80	21	MAR	1	5	3	9	1	1	3	5	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	5	1	1	4	8	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	8	1	5	1	8	1	1	1	1	12
	81	22	MAR	1	11	3	2	1	1	3	5	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	11	1	1	3	8	1	1	8	12	4	1	1	1	1	8	3	8	1	1	1	1	1	1	2	1	6	1	5	1	1	1	1	3
	82	23	MAR	3	11	3	9	1	1	3	8	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	11	1	1	9	10	1	1	8	12	4	1	1	1	1	8	9	8	1	1	1	1	1	1	2	1	7	1	5	1	1	1	1	12
	83	24	MAR	1	8	3	9	1	1	3	8	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	11	1	1	2	10	1	1	8	12	4	1	1	1	1	8	2	8	1	1	1	1	1	1	7	1	7	1	7	1	1	1	1	12
	84	25	MAR	1	5	3	9	1	1	6	5	4	1	1	1	1	1	1	1	7	4	1	1	1	1	1	1	1	5	1	1	4	8	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	7	4	7	1	7	1	1	1	1	12
	85	26	MAR	1	4	3	9	1	1	1	12	4	1	1	1	1	1	1	1	7	4	1	1	1	1	1	1	1	10	1	1	4	6	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	7	4	7	1	7	1	1	1	1	12
	86	27	MAR	1	3	3	7	1	1	2	9	4	1	1	1	1	1	1	1	7	9	1	1	1	1	1	1	1	7	1	1	11	1	1	1	8	12	4	1	1	1	1	8	11	8	1	1	1	1	1	1	7	4	7	1	7	1	1	1	1	11
	87	28	MAR	1	9	3	10	1	1	1	9	4	1	1	1	1	1	1	1	7	2	1	1	1	1	1	1	1	10	1	1	2	12	1	1	8	12	4	1	1	1	1	8	2	8	1	1	1	1	1	1	7	4	9	1	7	1	1	1	1	11
	88	29	MAR	1	4	11	4	1	1	1	9	4	1	1	1	1	1	1	1	7	4	1	1	1	1	1	1	1	4	1	1	1	5	1	1	8	12	4	1	1	1	1	8	1	5	1	1	1	1	1	1	7	4	7	1	7	1	1	1	1	4
	89	30	MAR	1	4	3	9	1	1	1	4	4	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	5	1	1	6	8	1	1	8	12	4	1	1	1	1	8	6	8	1	1	1	1	1	1	1	2	4	11	9	1	1	1	1	4
	90	31	MAR	1	2	3	9	1	1	1	12	4	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	1	3	1	1	11	7	1	1	8	12	4	1	1	1	1	8	11	8	1	1	1	1	1	1	1	4	12	10	9	1	1	1	1	4
	91	01	APR	1	12	3	9	1	1	10	2	11	1	1	1	1	1	1	1	10	4	1	1	1	1	1	1	1	12	1	1	1	2	1	1	8	12	11	1	1	1	1	8	1	8	1	1	1	1	1	1	1	2	12	5	12	5	1	1	1	4
	92	02	APR	1	9	1	9	1	1	1	9	11	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	3	1	1	1	5	1	1	8	12	11	1	1	1	1	8	1	8	1	1	1	1	1	1	10	9	4	5	4	1	1	1	1	4
	93	03	APR	1	3	3	9	1	1	1	8	11	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	3	1	1	3	7	1	1	8	12	11	1	1	1	1	8	3	8	1	1	1	1	1	1	1	9	4	1	4	1	1	1	1	4
	94	04	APR	1	12	3	4	1	1	1	4	11	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	12	1	1	12	3	1	1	8	12	11	1	1	1	1	8	12	8	1	1	1	1	1	1	10	9	12	1	4	1	1	1	1	8
	95	05	APR	1	4	3	4	1	1	1	4	11	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	8	1	1	2	9	1	1	8	12	11	1	1	1	1	8	2	9	1	1	1	1	1	1	1	7	4	1	4	1	1	1	1	4
	96	06	APR	1	4	3	9	1	1	11	8	11	1	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	8	1	1	4	10	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	8	3	4	1	4	1	1	1	1	4
	97	07	APR	1	4	1	9	1	1	7	6	11	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	4	1	1	11	12	1	1	8	12	11	1	1	1	1	8	11	8	1	1	1	1	1	1	11	3	4	1	4	1	1	1	1	12
	98	08	APR	7	4	1	9	1	1	7	4	11	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	4	1	1	1	8	1	1	8	12	11	1	1	1	1	8	1	8	1	1	1	1	1	1	11	1	4	1	4	1	1	1	7	4
	99	09	APR	7	4	1	9	1	1	7	4	11	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	4	1	1	4	10	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	10	1	10	1	10	1	1	1	7	12
	100	10	APR	7	4	3	9	1	1	7	12	11	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	6	4	1	1	4	12	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	10	12	10	6	10	6	1	1	7	12
	101	11	APR	6	4	3	9	1	1	7	12	11	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	6	4	1	1	11	1	1	1	8	12	11	1	1	1	1	8	11	8	1	1	1	1	1	1	11	1	4	1	4	6	1	1	6	12
	102	12	APR	6	2	3	9	1	1	6	2	11	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	6	2	1	1	3	9	1	1	8	12	11	1	1	1	1	8	3	8	1	1	1	1	1	1	11	2	2	6	4	6	1	1	6	4
