C	area	de	daily
	VARIABLES	BEGIN	END
	9	1	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
	89	30	MAR	940000	402652	0	0	0	0	940	603	0
	90	31	MAR	932000	310599	0	0	0	0	932	533	0
	91	01	APR	926000	240030	0	0	0	0	926	472	0
	92	02	APR	919960	261005	0	0	0	0	920	493	0
	93	03	APR	930000	337324	0	0	0	0	930	529	0
	94	04	APR	936000	398834	0	0	0	0	936	570	0
	95	05	APR	930000	415028	0	0	0	0	930	577	0
	96	06	APR	926000	320673	0	0	0	0	926	513	0
	97	07	APR	935774	214646	0	0	0	0	936	412	0
	98	08	APR	933447	173233	0	0	0	0	936	325	0
	99	09	APR	929755	200935	0	0	0	0	930	367	0
	100	10	APR	938000	278243	0	0	0	0	938	411	0
	101	11	APR	946000	332702	0	0	0	0	946	475	0
	102	12	APR	954000	313771	0	0	0	0	954	488	0
	103	13	APR	954000	243682	0	0	0	0	954	361	0
	104	14	APR	939039	168396	0	0	0	0	942	248	0
	105	15	APR	934604	118806	0	0	0	0	943	179	0
	106	16	APR	936735	150630	0	0	0	0	938	211	0
	107	17	APR	934000	219903	0	0	0	0	934	308	0
	108	18	APR	942000	275468	0	0	0	0	942	397	0
	109	19	APR	940000	265161	0	0	0	0	940	415	0
	110	20	APR	941736	196339	0	0	0	0	942	306	0
	111	21	APR	933608	131088	0	0	0	0	942	208	0
	112	22	APR	925189	97486	0	0	0	0	938	173	0
	113	23	APR	929489	125175	0	0	0	0	936	195	0
	114	24	APR	949151	185341	0	0	0	0	950	276	0
	115	25	APR	939735	252779	0	0	0	0	940	372	0
	116	26	APR	955825	234047	0	0	0	0	956	380	0
	117	27	APR	959836	189226	0	0	0	0	960	288	0
	118	28	APR	955802	107176	0	0	0	0	962	128	0
	119	29	APR	937691	83323	0	0	0	0	953	104	0
	120	30	APR	933461	100140	0	0	0	0	940	136	0
	121	01	MAY	935730	162926	0	0	0	0	936	221	0
	122	02	MAY	938000	196588	0	0	0	0	938	300	0
	123	03	MAY	941990	201665	0	0	0	0	942	291	0
	124	04	MAY	934496	140107	0	0	0	0	940	196	0
	125	05	MAY	918729	52675	0	0	0	0	946	65	0
	126	06	MAY	899780	35935	0	0	0	0	942	45	0
	127	07	MAY	681524	46800	0	0	0	0	698	71	0
	128	08	MAY	691315	101206	0	0	0	0	692	130	0
	129	09	MAY	706000	141451	0	0	0	0	706	205	0
	130	10	MAY	709827	137465	0	0	0	0	710	185	0
	131	11	MAY	704771	83731	0	0	0	0	710	111	0
	132	12	MAY	683527	26433	0	0	0	0	708	33	0
	133	13	MAY	654587	9154	0	0	0	0	702	13	0
	134	14	MAY	904668	30756	0	0	0	0	940	41	0
	135	15	MAY	940832	66365	0	0	0	0	952	89	0
	136	16	MAY	942478	130004	0	0	0	0	948	174	0
	137	17	MAY	943845	123174	0	0	0	0	948	167	0
	138	18	MAY	937735	64007	0	0	0	0	950	79	0
	139	19	MAY	886311	20236	0	0	0	0	950	25	0
	140	20	MAY	854291	5819	0	0	0	0	965	9	0
	141	21	MAY	881375	15841	0	0	0	0	963	22	0
	142	22	MAY	932548	55701	0	0	0	0	962	79	0
	143	23	MAY	947080	96663	0	0	0	0	962	134	0
	144	24	MAY	951725	101478	0	0	0	0	964	155	0
	145	25	MAY	924363	63456	0	0	0	0	958	93	0
	146	26	MAY	880126	20553	0	0	0	0	956	33	0
	147	27	MAY	850033	9159	0	0	0	0	953	12	0
	148	28	MAY	889351	17716	0	0	0	0	956	26	0
	149	29	MAY	927296	45334	0	0	0	0	956	64	0
	150	30	MAY	943598	102875	0	0	0	0	950	142	0
	151	31	MAY	951217	90691	0	0	0	0	960	127	0
	152	01	JUN	932463	49553	0	0	0	0	950	64	0
	153	02	JUN	866377	16013	0	0	0	0	947	21	0
	154	03	JUN	811105	5244	0	0	0	0	947	8	0
	155	04	JUN	845335	3951	0	0	0	0	956	6	0
	156	05	JUN	904590	19714	0	0	0	0	962	25	0
	157	06	JUN	936575	40434	0	0	0	0	963	53	0
	158	07	JUN	945511	44033	0	0	0	0	966	54	0
	159	08	JUN	920501	18897	0	0	0	0	962	26	0
	160	09	JUN	830523	1108	0	0	0	0	961	2	0
	161	10	JUN	770947	436	0	0	0	0	961	1	0
	162	11	JUN	813662	117	0	0	0	0	967	0	0
	163	12	JUN	894973	5637	0	0	0	0	979	7	0
	164	13	JUN	929797	18700	0	0	0	0	970	24	0
	165	14	JUN	926373	27592	0	0	0	0	962	35	0
	166	15	JUN	890224	8896	0	0	0	0	956	11	0
	167	16	JUN	797528	1651	0	0	0	0	939	2	0
	168	17	JUN	747643	87	0	0	0	0	932	0	0
	169	18	JUN	779224	827	0	0	0	0	929	1	0
	170	19	JUN	862754	8352	0	0	0	0	927	12	0
	171	20	JUN	886009	22690	0	0	0	0	929	29	0
	172	21	JUN	880505	23159	0	0	0	0	926	29	0
	173	22	JUN	841467	13775	0	0	0	0	916	18	0
	174	23	JUN	789405	1526	0	0	0	0	913	2	0
	175	24	JUN	739047	1571	0	0	0	0	911	2	0
	176	25	JUN	756277	1801	0	0	0	0	911	4	0
	177	26	JUN	847134	11742	0	0	0	0	915	17	0
	178	27	JUN	890177	27759	0	0	0	0	928	36	0
	179	28	JUN	890212	23265	0	0	0	0	933	31	0
	180	29	JUN	850299	11958	0	0	0	0	933	15	0
	181	30	JUN	773446	3312	0	0	0	0	926	4	0
	182	01	JUL	744320	3860	0	0	0	0	924	5	0
	183	02	JUL	770800	5482	0	0	0	0	927	10	0
	184	03	JUL	849001	12159	0	0	0	0	936	18	0
	185	04	JUL	895557	26557	0	0	0	0	936	36	0
	186	05	JUL	896267	27259	0	0	0	0	928	36	0
	187	06	JUL	862995	5950	0	0	0	0	930	7	0
	188	07	JUL	774036	1096	0	0	0	0	923	2	0
	189	08	JUL	730336	578	0	0	0	0	918	1	0
	190	09	JUL	773366	3000	0	0	0	0	917	4	0
	191	10	JUL	853077	17173	0	0	0	0	921	23	0
	192	11	JUL	885127	33978	0	0	0	0	919	43	0
	193	12	JUL	888562	39372	0	0	0	0	922	49	0
	194	13	JUL	861959	20123	0	0	0	0	918	28	0
	195	14	JUL	790959	2716	0	0	0	0	922	4	0
	196	15	JUL	733252	264	0	0	0	0	922	0	0
	197	16	JUL	751202	52	0	0	0	0	927	0	0
	198	17	JUL	827143	533	0	0	0	0	938	1	0
	199	18	JUL	873108	5949	0	0	0	0	947	8	0
	200	19	JUL	874887	4258	0	0	0	0	951	6	0
	201	20	JUL	825947	333	0	0	0	0	954	1	0
	202	21	JUL	732749	0	0	0	0	0	946	0	0
	203	22	JUL	710950	0	0	0	0	0	946	0	0
	204	23	JUL	768739	382	0	0	0	0	947	0	0
	205	24	JUL	851952	4493	0	0	0	0	958	7	0
	206	25	JUL	914106	17021	0	0	0	0	967	23	0
	207	26	JUL	915759	20963	0	0	0	0	971	29	0
	208	27	JUL	873045	7479	0	0	0	0	965	11	0
	209	28	JUL	796680	1469	0	0	0	0	952	2	0
	210	29	JUL	746870	496	0	0	0	0	952	1	0
	211	30	JUL	789213	2506	0	0	0	0	950	3	0
	212	31	JUL	872837	6595	0	0	0	0	961	11	0
	213	01	AUG	930017	23010	0	0	0	0	966	31	0
	214	02	AUG	935871	22330	0	0	0	0	971	30	0
	215	03	AUG	876608	3934	0	0	0	0	970	5	0
	216	04	AUG	797815	245	0	0	0	0	966	0	0
	217	05	AUG	737100	0	0	0	0	0	962	0	0
	218	06	AUG	786044	584	0	0	0	0	962	1	0
	219	07	AUG	877315	15404	0	0	0	0	963	21	0
	220	08	AUG	919942	42385	0	0	0	0	957	52	0
	221	09	AUG	924676	38873	0	0	0	0	961	50	0
	222	10	AUG	895063	27314	0	0	0	0	958	35	0
	223	11	AUG	831921	6998	0	0	0	0	943	10	0
	224	12	AUG	787757	3377	0	0	0	0	933	5	0
	225	13	AUG	820914	13052	0	0	0	0	932	18	0
	226	14	AUG	878778	31709	0	0	0	0	930	43	0
	227	15	AUG	899143	59078	0	0	0	0	922	75	0
	228	16	AUG	909519	63996	0	0	0	0	926	81	0
	229	17	AUG	892966	38668	0	0	0	0	927	49	0
	230	18	AUG	840495	8809	0	0	0	0	924	12	0
	231	19	AUG	824868	3952	0	0	0	0	921	6	0
	232	20	AUG	854419	6922	0	0	0	0	937	10	0
	233	21	AUG	918076	22868	0	0	0	0	954	32	0
	234	22	AUG	933467	50309	0	0	0	0	947	65	0
	235	23	AUG	926232	63636	0	0	0	0	940	81	0
	236	24	AUG	919516	29339	0	0	0	0	948	37	0
	237	25	AUG	873975	13475	0	0	0	0	951	16	0
	238	26	AUG	849985	7531	0	0	0	0	938	11	0
	239	27	AUG	871443	19332	0	0	0	0	926	27	0
	240	28	AUG	912122	57019	0	0	0	0	930	78	0
	241	29	AUG	939924	115999	0	0	0	0	940	158	0
	242	30	AUG	929950	137908	0	0	0	0	930	188	0
	243	31	AUG	926551	86193	0	0	0	0	928	123	0
	244	01	SEP	914542	55076	0	0	0	0	936	68	0
	245	02	SEP	898047	27933	0	0	0	0	940	40	0
	246	03	SEP	907189	45548	0	0	0	0	936	62	0
	247	04	SEP	929240	90261	0	0	0	0	938	125	0
	248	05	SEP	935183	133421	0	0	0	0	938	179	0
	249	06	SEP	946708	121280	0	0	0	0	950	161	0
	250	07	SEP	931064	85389	0	0	0	0	940	106	0
	251	08	SEP	908833	36633	0	0	0	0	938	48	0
	252	09	SEP	886811	26587	0	0	0	0	935	35	0
	253	10	SEP	898749	51971	0	0	0	0	932	67	0
	254	11	SEP	929136	98553	0	0	0	0	938	138	0
	255	12	SEP	933368	151066	0	0	0	0	936	214	0
	256	13	SEP	929079	153887	0	0	0	0	932	219	0
	257	14	SEP	924132	116897	0	0	0	0	932	161	0
	258	15	SEP	901426	44577	0	0	0	0	932	59	0
	259	16	SEP	888220	35348	0	0	0	0	934	46	0
	260	17	SEP	930627	57349	0	0	0	0	948	75	0
	261	18	SEP	940894	138970	0	0	0	0	944	194	0
	262	19	SEP	950000	195700	0	0	0	0	950	278	0
	263	20	SEP	950000	213433	0	0	0	0	950	319	0
	264	21	SEP	944527	140329	0	0	0	0	946	199	0
	265	22	SEP	941769	71827	0	0	0	0	952	99	0
	266	23	SEP	931293	42658	0	0	0	0	956	56	0
	267	24	SEP	951580	75758	0	0	0	0	958	100	0
	268	25	SEP	961350	150294	0	0	0	0	962	202	0
	269	26	SEP	960000	201984	0	0	0	0	960	302	0
	270	27	SEP	948000	216498	0	0	0	0	948	316	0
	271	28	SEP	948000	160430	0	0	0	0	948	248	0
	272	29	SEP	938324	105643	0	0	0	0	944	136	0
	273	30	SEP	937611	64839	0	0	0	0	950	95	0
	274	01	OCT	933294	104844	0	0	0	0	944	142	0
	275	02	OCT	941934	207835	0	0	0	0	942	279	0
	276	03	OCT	946000	276631	0	0	0	0	946	380	0
	277	04	OCT	946000	286456	0	0	0	0	946	400	0
	278	05	OCT	951994	210193	0	0	0	0	952	336	0
	279	06	OCT	950343	141406	0	0	0	0	952	234	0
	280	07	OCT	942762	114845	0	0	0	0	954	182	0
	281	08	OCT	948150	156360	0	0	0	0	952	247	0
	282	09	OCT	952000	250589	0	0	0	0	952	360	0
	283	10	OCT	948000	331066	0	0	0	0	948	459	0
	284	11	OCT	951963	335531	0	0	0	0	952	480	0
	285	12	OCT	950000	270626	0	0	0	0	950	435	0
	286	13	OCT	951777	195905	0	0	0	0	952	339	0
	287	14	OCT	945271	164325	0	0	0	0	946	304	0
	288	15	OCT	857783	202257	0	0	0	0	858	322	0
	289	16	OCT	862000	267344	0	0	0	0	862	405	0
	290	17	OCT	862000	317831	0	0	0	0	862	466	0
	291	18	OCT	868000	341305	0	0	0	0	868	509	0
	292	19	OCT	866000	302174	0	0	0	0	866	483	0
	293	20	OCT	869856	209228	0	0	0	0	870	441	0
	294	21	OCT	866213	173827	0	0	0	0	868	423	0
	295	22	OCT	865402	208146	0	0	0	0	866	441	0
	296	23	OCT	866000	306820	0	0	0	0	866	472	0
	297	24	OCT	866000	377471	0	0	0	0	866	521	0
	298	25	OCT	868000	364132	0	0	0	0	868	535	0
	299	26	OCT	862000	318319	0	0	0	0	862	516	0
	300	27	OCT	864000	241759	0	0	0	0	864	431	0
	301	28	OCT	865236	212815	0	0	0	0	866	391	0
	302	29	OCT	953790	258787	0	0	0	0	954	435	0
	303	30	OCT	956000	354912	0	0	0	0	956	506	0
	304	31	OCT	968000	434337	1782	0	0	0	968	561	2
	305	01	NOV	974000	410271	395	0	0	0	974	579	1
	306	02	NOV	970000	343460	0	0	0	0	970	532	0
	307	03	NOV	971931	265894	0	0	0	0	972	446	0
	308	04	NOV	973103	219252	0	0	0	0	974	355	0
	309	05	NOV	976000	268053	0	0	0	0	976	407	0
	310	06	NOV	982000	356218	0	0	0	0	982	499	0
	311	07	NOV	986000	433703	0	0	0	0	986	557	0
	312	08	NOV	980000	445276	0	0	0	0	980	597	0
	313	09	NOV	976000	364781	0	0	0	0	976	566	0
	314	10	NOV	964000	290879	0	0	0	0	964	546	0
	315	11	NOV	964000	259915	0	0	0	0	964	530	0
	316	12	NOV	954000	298349	0	0	0	0	954	559	0
	317	13	NOV	958000	398404	0	0	0	0	958	575	0
	318	14	NOV	946000	472516	96	0	0	0	946	595	0
	319	15	NOV	950000	465783	0	0	0	0	950	613	0
	320	16	NOV	948000	397900	0	0	0	0	948	599	0
	321	17	NOV	944000	318153	0	0	0	0	944	554	0
	322	18	NOV	960000	267439	0	0	0	0	960	488	0
	323	19	NOV	948000	333303	0	0	0	0	948	523	0
	324	20	NOV	960000	432836	0	0	0	0	960	566	0
	325	21	NOV	954000	513029	1969	0	0	0	954	611	3
	326	22	NOV	962000	527445	3006	0	0	0	962	636	4
	327	23	NOV	948000	495491	33	0	0	0	948	641	0
	328	24	NOV	958000	402484	0	0	0	0	958	638	0
	329	25	NOV	946000	364546	0	0	0	0	946	638	0
	330	26	NOV	940000	412912	0	0	0	0	940	638	0
	331	27	NOV	940000	494906	0	0	0	0	940	643	0
	332	28	NOV	928000	566362	0	0	0	0	928	661	0
	333	29	NOV	932000	566888	224	0	0	0	932	661	1
	334	30	NOV	922000	522247	0	0	0	0	922	658	0
	335	01	DEC	924000	403179	0	0	0	0	924	627	0
	336	02	DEC	922000	369381	0	0	0	0	922	609	0
	337	03	DEC	852000	384844	1502	0	0	0	852	582	2
	338	04	DEC	848000	460610	3547	0	0	0	848	587	4
	339	05	DEC	846000	502578	4190	0	0	0	846	596	8
	340	06	DEC	846000	523883	4724	0	0	0	846	596	5
	341	07	DEC	844000	482676	6118	0	0	0	844	593	8
	342	08	DEC	850000	424520	604	0	0	0	850	582	1
	343	09	DEC	854000	383086	294	0	0	0	854	575	0
	344	10	DEC	934000	449314	2320	0	0	0	934	624	3
	345	11	DEC	940000	523798	7989	0	0	0	940	625	12
	346	12	DEC	932000	577979	28619	0	0	0	932	632	37
	347	13	DEC	934000	576730	34863	0	0	0	934	632	48
	348	14	DEC	926000	513921	18482	0	0	0	926	634	24
	349	15	DEC	936000	441799	3711	0	0	0	936	633	5
	350	16	DEC	936000	422617	1922	0	0	0	936	629	2
	351	17	DEC	938000	453290	1974	0	0	0	938	634	3
	352	18	DEC	938000	521150	5554	0	0	0	938	642	8
	353	19	DEC	936000	563840	19952	0	0	0	936	645	26
	354	20	DEC	940000	567573	17643	0	0	0	940	646	29
	355	21	DEC	926000	548659	5838	0	0	0	926	652	7
	356	22	DEC	938000	471945	721	0	0	0	938	650	1
	357	23	DEC	934000	436294	357	0	0	0	934	644	1
	358	24	DEC	942000	470658	1123	0	0	0	942	648	2
	359	25	DEC	944000	537727	7506	0	0	0	944	649	10
	360	26	DEC	956000	587790	18187	0	0	0	956	664	26
	361	27	DEC	956000	582123	18824	0	0	0	956	666	26
	362	28	DEC	956000	527695	14291	0	0	0	956	638	20
	363	29	DEC	964000	465738	13252	0	0	0	964	593	17
	364	30	DEC	962000	425121	4230	0	0	0	962	562	6
