C	area	id	hourly
	VARIABLES	BEGIN	END
	58	1	8736

C	hourly				OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
	11	01	JAN	10:00	9	4	3	9	1	1	9	1	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	1	9	4	1	1	1	11	1	1	9	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	10	9	10	9	10	9	1	1	9	8
	12	01	JAN	11:00	9	4	3	9	1	1	9	1	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	1	9	4	1	1	2	1	1	1	9	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	10	9	10	9	4	9	1	1	9	8
	13	01	JAN	12:00	5	4	3	4	1	1	9	1	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	5	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	8
	14	01	JAN	13:00	2	4	12	4	1	1	2	1	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	2	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	5	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	15	01	JAN	14:00	9	4	12	4	1	1	9	1	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	1	9	4	1	1	2	1	1	1	9	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	10	9	3	9	4	9	1	1	9	8
	16	01	JAN	15:00	8	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	2	8	1	1	9	6	4	12	1	1	5	1	2	8	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	17	01	JAN	16:00	9	3	12	3	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	3	9	4	1	1	2	1	1	1	9	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	10	9	3	9	4	9	1	1	9	4
	18	01	JAN	17:00	12	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	12	4	1	1	2	1	1	1	9	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	19	01	JAN	18:00	9	4	12	3	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	2	10	1	1	9	6	4	12	1	1	5	1	2	10	1	1	1	1	1	1	10	9	4	9	4	9	1	1	2	4
	20	01	JAN	19:00	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	2	10	1	1	9	6	4	12	1	1	5	1	2	10	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	21	01	JAN	20:00	9	4	12	3	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	2	10	1	1	9	6	4	12	1	1	5	1	2	10	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	22	01	JAN	21:00	9	4	12	3	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	2	10	1	1	9	6	4	12	1	1	5	1	2	10	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	23	01	JAN	22:00	2	11	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	1	10	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	10	9	1	9	4	9	1	1	9	4
	24	01	JAN	23:00	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	1	10	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	10	9	4	9	4	9	1	1	9	4
	25	02	JAN	00:00	9	3	12	6	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	3	9	4	1	1	1	10	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	2	9	3	9	4	9	1	1	9	3
	26	02	JAN	01:00	9	4	12	6	1	1	9	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	9	4	1	1	4	1	1	1	9	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	4
	27	02	JAN	02:00	12	11	12	4	1	1	9	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	1	12	4	1	1	2	1	1	1	9	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	2	9	11	9	4	9	1	1	9	1
	28	02	JAN	03:00	5	4	12	4	1	1	9	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	7	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	4
	29	02	JAN	04:00	2	3	12	3	1	1	9	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	3	2	4	1	1	1	8	1	1	9	6	4	12	1	1	5	1	1	8	1	1	1	1	1	1	2	9	3	9	4	9	1	1	9	1
	30	02	JAN	05:00	12	4	3	4	1	1	9	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	12	4	1	1	3	1	1	1	9	6	4	12	1	1	5	1	3	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	1
	31	02	JAN	06:00	12	4	3	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	12	4	1	1	3	1	1	1	9	6	4	12	1	1	5	1	3	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	1
	32	02	JAN	07:00	2	4	3	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	1	7	4	1	1	3	1	1	1	9	6	4	12	1	1	5	1	3	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	1
	33	02	JAN	08:00	7	4	3	4	1	1	2	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	7	4	1	1	1	7	1	1	9	6	4	12	1	1	5	1	1	7	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	1
	34	02	JAN	09:00	2	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	1	5	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	5	1	1	1	1	1	1	2	9	3	5	4	9	1	1	9	1
	35	02	JAN	10:00	5	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	5	1	1	1	1	1	1	2	9	4	5	4	9	1	1	9	4
	36	02	JAN	11:00	9	11	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	1	9	4	1	1	1	4	1	1	9	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	11	9	4	9	1	1	9	1
	37	02	JAN	12:00	5	4	12	3	1	1	2	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	2	9	4	5	4	9	1	1	9	4
	38	02	JAN	13:00	5	4	12	3	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	4	1	1	1	5	1	1	9	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	2	9	4	5	4	9	1	1	9	4
	39	02	JAN	14:00	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	9	4	1	1	1	3	1	1	9	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	9	4
	40	02	JAN	15:00	5	4	11	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	4	1	1	1	3	1	1	9	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	4
	41	02	JAN	16:00	2	4	1	3	1	1	2	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	9	4	1	1	1	6	1	1	9	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	42	02	JAN	17:00	5	3	11	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	3	7	1	1	1	3	5	1	1	9	6	4	12	1	1	5	1	3	11	1	1	1	1	1	1	2	9	3	5	4	9	1	1	2	3
	43	02	JAN	18:00	12	4	12	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	12	1	1	1	3	8	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	44	02	JAN	19:00	12	4	12	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	12	1	1	1	9	3	1	1	8	6	4	12	1	1	5	1	9	3	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	4
	45	02	JAN	20:00	9	4	12	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	9	1	1	1	3	12	1	1	8	6	4	12	1	1	5	1	3	12	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	46	02	JAN	21:00	8	4	8	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	8	1	1	1	3	8	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	47	02	JAN	22:00	5	4	1	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	7	4	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	4
	48	02	JAN	23:00	5	4	11	3	1	1	2	3	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	1	1	1	2	3	1	1	8	6	4	12	1	1	5	1	2	3	1	1	1	1	1	1	2	9	1	5	4	9	1	1	2	4
	49	03	JAN	00:00	2	4	12	6	1	1	2	3	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	2	1	1	1	4	3	1	1	8	6	4	12	1	1	5	1	4	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	50	03	JAN	01:00	2	4	12	3	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	5	1	1	1	3	1	1	8	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	51	03	JAN	02:00	1	4	12	6	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	1	5	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	1	4	9	1	1	2	4
	52	03	JAN	03:00	7	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	7	4	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	11	7	4	9	1	1	2	1
	53	03	JAN	04:00	5	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	1	4	1	1	2	1	1	1	8	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	1
	54	03	JAN	05:00	9	6	12	6	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	6	9	4	1	1	5	1	1	1	8	6	4	12	1	1	5	1	5	1	1	1	1	1	1	1	2	9	6	9	4	9	1	1	2	1
	55	03	JAN	06:00	1	11	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	1	1	4	1	1	2	1	1	1	8	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	2	9	11	9	4	9	1	1	2	1
	56	03	JAN	07:00	12	3	12	6	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	3	12	4	1	1	2	1	1	1	8	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	2	9	3	7	4	9	1	1	2	1
	57	03	JAN	08:00	12	11	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	12	4	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	11	12	4	9	1	1	2	1
	58	03	JAN	09:00	12	4	12	3	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	12	4	1	1	2	1	1	1	8	6	4	12	1	1	5	1	2	1	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	4
	59	03	JAN	10:00	9	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	4	1	1	1	11	1	1	8	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	60	03	JAN	11:00	2	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	5	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	61	03	JAN	12:00	9	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	5	1	1	1	11	1	1	8	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	62	03	JAN	13:00	1	4	12	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	1	5	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	1	4	9	1	1	2	4
	63	03	JAN	14:00	12	3	12	3	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	3	12	5	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	3	12	4	9	1	1	2	4
	64	03	JAN	15:00	9	4	11	4	1	1	2	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	7	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	65	03	JAN	16:00	12	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	12	1	1	1	3	6	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	12	4	9	1	1	2	4
	66	03	JAN	17:00	9	4	1	6	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	5	1	1	7	1	1	1	8	6	4	12	1	1	5	1	7	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	67	03	JAN	18:00	9	3	5	6	1	1	7	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	3	9	1	1	1	3	4	1	1	8	6	4	12	1	1	5	1	3	4	1	1	1	1	1	1	2	9	3	9	4	9	1	1	2	4
	68	03	JAN	19:00	2	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	12	1	1	1	3	6	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	69	03	JAN	20:00	2	6	9	6	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	6	2	1	1	1	6	3	1	1	8	6	4	12	1	1	5	1	6	3	1	1	1	1	1	1	2	9	6	9	4	9	1	1	2	4
	70	03	JAN	21:00	9	4	5	4	1	1	9	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	1	1	1	3	5	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	71	03	JAN	22:00	9	4	1	4	1	1	7	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	5	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	72	03	JAN	23:00	9	4	1	4	1	1	7	4	4	12	1	1	1	1	1	1	4	7	1	1	1	1	1	4	9	1	1	1	3	5	1	1	8	6	4	12	1	1	5	1	3	8	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	73	04	JAN	00:00	2	4	11	4	1	1	7	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	2	5	1	1	1	3	1	1	8	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	74	04	JAN	01:00	9	4	12	4	1	1	7	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	5	1	1	1	11	1	1	8	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	75	04	JAN	02:00	2	4	12	4	1	1	7	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	5	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	76	04	JAN	03:00	1	4	12	3	1	1	7	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	4	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	77	04	JAN	04:00	12	11	12	4	1	1	7	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	12	4	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	11	12	4	9	1	1	2	4
	78	04	JAN	05:00	1	4	12	6	1	1	1	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	4	1	1	1	6	1	1	8	6	4	12	1	1	5	1	1	6	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	79	04	JAN	06:00	12	4	12	4	1	1	1	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	12	4	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	12	4	9	1	1	2	4
	80	04	JAN	07:00	12	4	12	4	1	1	1	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	12	4	1	1	1	6	1	1	8	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	81	04	JAN	08:00	9	11	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	4	1	1	1	4	1	1	8	6	4	12	1	1	5	1	1	4	1	1	1	1	1	1	2	9	11	9	4	9	1	1	2	4
	82	04	JAN	09:00	1	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	4	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	1	4	9	1	1	2	4
	83	04	JAN	10:00	5	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	5	4	1	1	1	5	1	1	8	6	4	12	1	1	5	1	1	11	1	1	1	1	1	1	2	9	4	5	4	9	1	1	2	4
	84	04	JAN	11:00	1	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	5	1	1	4	1	1	1	8	6	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	9	4	1	4	9	1	1	2	4
	85	04	JAN	12:00	10	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	10	5	1	1	1	10	1	1	8	6	4	12	1	1	5	1	1	10	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	86	04	JAN	13:00	9	4	12	6	1	1	9	3	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	5	1	1	12	1	1	1	8	6	4	12	1	1	5	1	12	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	87	04	JAN	14:00	2	4	1	6	1	1	9	3	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	2	5	1	1	1	3	1	1	8	6	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	88	04	JAN	15:00	2	4	7	6	1	1	9	3	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	7	1	1	1	4	3	1	1	8	6	4	12	1	1	5	1	4	3	1	1	1	1	1	1	2	9	4	7	4	9	1	1	2	4
	89	04	JAN	16:00	9	4	5	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	1	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	90	04	JAN	17:00	9	4	1	6	1	1	9	3	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	5	1	1	12	1	1	1	8	5	4	12	1	1	5	1	5	1	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	91	04	JAN	18:00	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	1	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	92	04	JAN	19:00	9	4	5	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	1	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	93	04	JAN	20:00	9	4	12	6	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	1	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	94	04	JAN	21:00	2	4	1	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	1	5	1	1	9	1	1	1	8	5	4	12	1	1	5	1	9	1	1	1	1	1	1	1	2	9	4	1	4	9	1	1	2	4
	95	04	JAN	22:00	12	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	12	5	1	1	9	1	1	1	8	5	4	12	1	1	5	1	9	1	1	1	1	1	1	1	2	9	4	12	4	9	1	1	2	4
	96	04	JAN	23:00	2	4	1	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	2	1	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	2	9	4	9	4	9	1	1	2	4
	97	05	JAN	00:00	2	4	12	6	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	2	8	1	1	1	3	1	1	8	5	4	12	1	1	5	1	1	3	1	1	1	1	1	1	4	9	4	9	4	9	1	1	2	4
	98	05	JAN	01:00	12	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	12	8	1	1	1	12	1	1	8	5	4	12	1	1	5	1	1	12	1	1	1	1	1	1	4	9	4	12	4	9	1	1	2	4
	99	05	JAN	02:00	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	1	1	1	1	1	1	4	9	8	1	1	2	1	1	1	8	5	4	12	1	1	5	1	2	1	1	1	1	1	1	1	4	9	4	9	4	9	1	1	2	4
