C	area	de	daily
	VARIABLES	BEGIN	END
	9	8	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
	96	06	APR	949333	297356	0	0	0	0	949	442	0
	97	07	APR	954502	192462	0	0	0	0	955	314	0
	98	08	APR	959925	154052	0	0	0	0	960	308	0
	99	09	APR	941244	214154	0	0	0	0	941	352	0
	100	10	APR	938667	312195	0	0	0	0	939	427	0
	101	11	APR	928000	387689	1025	0	0	0	928	511	1
	102	12	APR	928000	361628	0	0	0	0	928	512	0
	103	13	APR	917333	262180	0	0	0	0	917	417	0
	104	14	APR	906667	194810	0	0	0	0	907	316	0
	105	15	APR	908842	151063	0	0	0	0	912	293	0
	106	16	APR	906667	192201	0	0	0	0	907	344	0
	107	17	APR	901333	263947	0	0	0	0	901	411	0
	108	18	APR	912000	321668	0	0	0	0	912	469	0
	109	19	APR	922667	328593	0	0	0	0	923	504	0
	110	20	APR	925333	242007	0	0	0	0	925	371	0
	111	21	APR	922388	169736	0	0	0	0	923	281	0
	112	22	APR	919584	129639	0	0	0	0	923	200	0
	113	23	APR	920888	154266	0	0	0	0	923	234	0
	114	24	APR	941333	205209	0	0	0	0	941	309	0
	115	25	APR	946667	270501	0	0	0	0	947	395	0
	116	26	APR	954667	270156	0	0	0	0	955	417	0
	117	27	APR	944000	211303	0	0	0	0	944	337	0
	118	28	APR	930302	125914	0	0	0	0	933	178	0
	119	29	APR	932355	88895	0	0	0	0	939	128	0
	120	30	APR	929555	106205	0	0	0	0	936	153	0
	121	01	MAY	950674	134891	0	0	0	0	952	184	0
	122	02	MAY	954667	177907	0	0	0	0	955	251	0
	123	03	MAY	968000	163706	0	0	0	0	968	248	0
	124	04	MAY	961634	108192	0	0	0	0	965	150	0
	125	05	MAY	910290	44519	0	0	0	0	961	70	0
	126	06	MAY	875925	26059	0	0	0	0	958	45	0
	127	07	MAY	919816	27826	0	0	0	0	973	39	0
	128	08	MAY	970589	69131	0	0	0	0	984	99	0
	129	09	MAY	978603	143254	0	0	0	0	979	205	0
	130	10	MAY	977639	128485	0	0	0	0	979	187	0
	131	11	MAY	952658	78270	0	0	0	0	965	100	0
	132	12	MAY	920834	28034	0	0	0	0	971	37	0
	133	13	MAY	874217	13906	0	0	0	0	962	18	0
	134	14	MAY	893607	21584	0	0	0	0	960	31	0
	135	15	MAY	942121	76625	0	0	0	0	955	111	0
	136	16	MAY	948693	138213	0	0	0	0	949	190	0
	137	17	MAY	939545	138836	0	0	0	0	941	208	0
	138	18	MAY	926231	107272	0	0	0	0	933	129	0
	139	19	MAY	901544	41861	0	0	0	0	938	51	0
	140	20	MAY	868461	19786	0	0	0	0	948	26	0
	141	21	MAY	891282	37481	0	0	0	0	947	51	0
	142	22	MAY	926675	77104	0	0	0	0	947	102	0
	143	23	MAY	941300	114532	0	0	0	0	944	147	0
	144	24	MAY	950267	98778	0	0	0	0	957	135	0
	145	25	MAY	930380	52767	0	0	0	0	952	68	0
	146	26	MAY	875449	6720	0	0	0	0	961	10	0
	147	27	MAY	829496	5	0	0	0	0	958	0	0
	148	28	MAY	862461	3088	0	0	0	0	955	4	0
	149	29	MAY	927592	21806	0	0	0	0	963	34	0
	150	30	MAY	940916	77621	0	0	0	0	947	104	0
	151	31	MAY	943783	70061	0	0	0	0	955	91	0
	152	01	JUN	933814	28701	0	0	0	0	952	39	0
	153	02	JUN	871227	5396	0	0	0	0	948	7	0
	154	03	JUN	822300	670	0	0	0	0	947	1	0
	155	04	JUN	849739	3072	0	0	0	0	947	5	0
	156	05	JUN	907253	24282	0	0	0	0	947	36	0
	157	06	JUN	927158	72760	0	0	0	0	939	94	0
	158	07	JUN	934316	65930	0	0	0	0	952	88	0
	159	08	JUN	876313	41716	0	0	0	0	940	52	0
	160	09	JUN	790495	12494	0	0	0	0	941	16	0
	161	10	JUN	746753	375	0	0	0	0	939	1	0
	162	11	JUN	780611	2838	0	0	0	0	942	6	0
	163	12	JUN	850864	9465	0	0	0	0	948	14	0
	164	13	JUN	895632	33641	0	0	0	0	950	43	0
	165	14	JUN	892055	34884	0	0	0	0	953	46	0
	166	15	JUN	840339	17076	0	0	0	0	949	22	0
	167	16	JUN	765479	101	0	0	0	0	949	0	0
	168	17	JUN	724096	0	0	0	0	0	944	0	0
	169	18	JUN	750677	88	0	0	0	0	944	0	0
	170	19	JUN	846981	5320	0	0	0	0	941	9	0
	171	20	JUN	908566	26521	0	0	0	0	949	35	0
	172	21	JUN	913740	22355	0	0	0	0	953	36	0
	173	22	JUN	848560	6209	0	0	0	0	951	9	0
	174	23	JUN	761877	2703	0	0	0	0	936	3	0
	175	24	JUN	717485	0	0	0	0	0	932	0	0
	176	25	JUN	757235	0	0	0	0	0	936	0	0
	177	26	JUN	852818	5289	0	0	0	0	949	7	0
	178	27	JUN	911200	23060	0	0	0	0	955	32	0
	179	28	JUN	902939	16322	0	0	0	0	953	26	0
	180	29	JUN	845577	1745	0	0	0	0	943	2	0
	181	30	JUN	759402	0	0	0	0	0	937	0	0
	182	01	JUL	735625	641	0	0	0	0	933	1	0
	183	02	JUL	774518	1832	0	0	0	0	937	2	0
	184	03	JUL	852643	4838	0	0	0	0	945	6	0
	185	04	JUL	903535	21417	0	0	0	0	947	30	0
	186	05	JUL	886919	31916	0	0	0	0	944	43	0
	187	06	JUL	844772	7651	0	0	0	0	936	13	0
	188	07	JUL	755576	0	0	0	0	0	930	0	0
	189	08	JUL	703634	0	0	0	0	0	926	0	0
	190	09	JUL	741277	4388	0	0	0	0	922	7	0
	191	10	JUL	833967	16283	0	0	0	0	926	23	0
	192	11	JUL	875558	35922	0	0	0	0	928	51	0
	193	12	JUL	870992	20508	0	0	0	0	937	29	0
	194	13	JUL	813475	1249	0	0	0	0	935	2	0
	195	14	JUL	723283	0	0	0	0	0	923	0	0
	196	15	JUL	693547	0	0	0	0	0	923	0	0
	197	16	JUL	749750	0	0	0	0	0	925	0	0
	198	17	JUL	828084	5173	0	0	0	0	928	9	0
	199	18	JUL	886658	30575	0	0	0	0	934	39	0
	200	19	JUL	898993	30295	0	0	0	0	952	38	0
	201	20	JUL	838384	11405	0	0	0	0	947	15	0
	202	21	JUL	759224	5138	0	0	0	0	935	7	0
	203	22	JUL	738991	257	0	0	0	0	933	0	0
	204	23	JUL	792962	1214	0	0	0	0	932	2	0
	205	24	JUL	865585	6448	0	0	0	0	949	9	0
	206	25	JUL	923175	21531	0	0	0	0	965	29	0
	207	26	JUL	925191	21824	0	0	0	0	963	35	0
	208	27	JUL	871332	1888	0	0	0	0	956	3	0
	209	28	JUL	760986	0	0	0	0	0	952	0	0
	210	29	JUL	723926	0	0	0	0	0	952	0	0
	211	30	JUL	773423	0	0	0	0	0	951	0	0
	212	31	JUL	863097	1828	0	0	0	0	965	3	0
	213	01	AUG	945656	36053	0	0	0	0	979	49	0
	214	02	AUG	945050	36816	0	0	0	0	978	49	0
	215	03	AUG	893887	7662	0	0	0	0	976	13	0
	216	04	AUG	783004	888	0	0	0	0	968	1	0
	217	05	AUG	729283	242	0	0	0	0	965	0	0
	218	06	AUG	785554	3142	0	0	0	0	968	5	0
	219	07	AUG	872751	9640	0	0	0	0	976	13	0
	220	08	AUG	924512	32308	0	0	0	0	973	39	0
	221	09	AUG	916857	28183	0	0	0	0	973	37	0
	222	10	AUG	863926	8721	0	0	0	0	973	11	0
	223	11	AUG	783167	587	0	0	0	0	957	1	0
	224	12	AUG	735771	0	0	0	0	0	947	0	0
	225	13	AUG	767283	0	0	0	0	0	946	0	0
	226	14	AUG	858685	3327	0	0	0	0	950	5	0
	227	15	AUG	910504	21858	0	0	0	0	956	31	0
	228	16	AUG	915940	33881	0	0	0	0	955	43	0
	229	17	AUG	880068	13920	0	0	0	0	947	18	0
	230	18	AUG	812106	4342	0	0	0	0	925	7	0
	231	19	AUG	775057	709	0	0	0	0	919	1	0
	232	20	AUG	820584	4325	0	0	0	0	917	9	0
	233	21	AUG	887948	35129	0	0	0	0	920	56	0
	234	22	AUG	915370	87326	0	0	0	0	925	116	0
	235	23	AUG	927465	88689	0	0	0	0	928	116	0
	236	24	AUG	904848	51457	0	0	0	0	917	68	0
	237	25	AUG	844497	16683	0	0	0	0	915	24	0
	238	26	AUG	822567	3249	0	0	0	0	916	5	0
	239	27	AUG	880824	24866	0	0	0	0	913	37	0
	240	28	AUG	928593	73581	0	0	0	0	931	99	0
	241	29	AUG	935676	117068	0	0	0	0	936	154	0
	242	30	AUG	941362	99680	0	0	0	0	944	136	0
	243	31	AUG	925139	71830	0	0	0	0	941	103	0
	244	01	SEP	880805	34308	0	0	0	0	931	42	0
	245	02	SEP	834986	13604	0	0	0	0	926	19	0
	246	03	SEP	868129	25492	0	0	0	0	930	32	0
	247	04	SEP	924506	51239	0	0	0	0	944	79	0
	248	05	SEP	932389	73081	0	0	0	0	944	107	0
	249	06	SEP	942231	77066	0	0	0	0	947	113	0
	250	07	SEP	922867	34530	0	0	0	0	952	44	0
	251	08	SEP	869062	3559	0	0	0	0	950	6	0
	252	09	SEP	841891	8394	0	0	0	0	941	11	0
	253	10	SEP	882886	20199	0	0	0	0	953	30	0
	254	11	SEP	929148	62126	0	0	0	0	963	87	0
	255	12	SEP	956239	124559	0	0	0	0	968	169	0
	256	13	SEP	962806	123961	0	0	0	0	971	170	0
	257	14	SEP	941830	88108	0	0	0	0	960	127	0
	258	15	SEP	908473	28969	0	0	0	0	958	39	0
	259	16	SEP	890091	15024	0	0	0	0	968	21	0
	260	17	SEP	909339	24318	0	0	0	0	968	36	0
	261	18	SEP	941953	95661	0	0	0	0	960	122	0
	262	19	SEP	958624	154988	0	0	0	0	960	194	0
	263	20	SEP	959787	163941	0	0	0	0	960	205	0
	264	21	SEP	946284	92287	0	0	0	0	952	119	0
	265	22	SEP	924424	38971	0	0	0	0	957	49	0
	266	23	SEP	911811	38759	0	0	0	0	944	58	0
	267	24	SEP	927343	73481	0	0	0	0	941	102	0
	268	25	SEP	933273	167462	0	0	0	0	933	233	0
	269	26	SEP	925333	252528	0	0	0	0	925	354	0
	270	27	SEP	928000	261922	0	0	0	0	928	400	0
	271	28	SEP	936000	174337	0	0	0	0	936	269	0
	272	29	SEP	918191	92803	0	0	0	0	925	140	0
	273	30	SEP	897457	65070	0	0	0	0	912	107	0
	274	01	OCT	909941	108582	0	0	0	0	920	167	0
	275	02	OCT	906667	212329	0	0	0	0	907	293	0
	276	03	OCT	914667	292265	0	0	0	0	915	387	0
	277	04	OCT	917333	319515	0	0	0	0	917	443	0
	278	05	OCT	928000	238377	0	0	0	0	928	378	0
	279	06	OCT	922370	144751	0	0	0	0	928	271	0
	280	07	OCT	896618	127839	0	0	0	0	909	222	0
	281	08	OCT	907022	165895	0	0	0	0	915	282	0
	282	09	OCT	918461	265815	0	0	0	0	920	392	0
	283	10	OCT	933333	336670	0	0	0	0	933	452	0
	284	11	OCT	920000	375613	0	0	0	0	920	500	0
	285	12	OCT	930615	296187	0	0	0	0	931	436	0
	286	13	OCT	927870	206193	0	0	0	0	931	339	0
	287	14	OCT	921304	173504	0	0	0	0	925	271	0
	288	15	OCT	915432	199684	0	0	0	0	917	319	0
	289	16	OCT	922667	279397	0	0	0	0	923	400	0
	290	17	OCT	944000	330983	0	0	0	0	944	479	0
	291	18	OCT	938667	340965	0	0	0	0	939	494	0
	292	19	OCT	944000	272822	0	0	0	0	944	434	0
	293	20	OCT	940635	194687	0	0	0	0	941	357	0
	294	21	OCT	944902	178448	0	0	0	0	949	362	0
	295	22	OCT	951453	228224	0	0	0	0	952	405	0
	296	23	OCT	949333	310491	0	0	0	0	949	451	0
	297	24	OCT	962667	363172	0	0	0	0	963	501	0
	298	25	OCT	960000	364720	0	0	0	0	960	533	0
	299	26	OCT	949333	316295	0	0	0	0	949	466	0
	300	27	OCT	946667	232964	0	0	0	0	947	407	0
	301	28	OCT	945504	172883	0	0	0	0	949	317	0
	302	29	OCT	956113	191888	0	0	0	0	960	359	0
	303	30	OCT	962667	281419	0	0	0	0	963	439	0
	304	31	OCT	968000	365281	0	0	0	0	968	516	0
	305	01	NOV	970667	364863	0	0	0	0	971	527	0
	306	02	NOV	973333	282079	0	0	0	0	973	490	0
	307	03	NOV	964575	234876	0	0	0	0	965	452	0
	308	04	NOV	975359	208846	0	0	0	0	976	428	0
	309	05	NOV	981333	261766	0	0	0	0	981	468	0
	310	06	NOV	984000	341283	0	0	0	0	984	535	0
	311	07	NOV	984000	390237	0	0	0	0	984	558	0
	312	08	NOV	976000	401909	0	0	0	0	976	575	0
	313	09	NOV	970667	328580	0	0	0	0	971	548	0
	314	10	NOV	970667	240420	0	0	0	0	971	532	0
	315	11	NOV	960000	226902	0	0	0	0	960	516	0
	316	12	NOV	960000	281997	0	0	0	0	960	544	0
	317	13	NOV	968000	377288	0	0	0	0	968	585	0
	318	14	NOV	962667	466650	0	0	0	0	963	613	0
	319	15	NOV	970667	463145	0	0	0	0	971	620	0
	320	16	NOV	968000	388568	0	0	0	0	968	594	0
	321	17	NOV	973333	285630	0	0	0	0	973	555	0
	322	18	NOV	968000	250453	0	0	0	0	968	558	0
	323	19	NOV	960000	289715	0	0	0	0	960	579	0
	324	20	NOV	957333	418968	0	0	0	0	957	601	0
	325	21	NOV	970667	494223	0	0	0	0	971	637	0
	326	22	NOV	981333	497677	0	0	0	0	981	645	0
	327	23	NOV	970667	448404	0	0	0	0	971	632	0
	328	24	NOV	973333	355849	0	0	0	0	973	616	0
	329	25	NOV	968000	316753	0	0	0	0	968	591	0
	330	26	NOV	954667	375154	0	0	0	0	955	615	0
	331	27	NOV	946667	481357	0	0	0	0	947	634	0
	332	28	NOV	962667	535293	3859	0	0	0	963	642	8
	333	29	NOV	970667	499503	3041	0	0	0	971	620	3
	334	30	NOV	962667	449346	1619	0	0	0	963	601	2
	335	01	DEC	954667	393163	412	0	0	0	955	559	1
	336	02	DEC	954667	370110	0	0	0	0	955	548	0
	337	03	DEC	970667	379526	0	0	0	0	971	540	0
	338	04	DEC	973333	468616	0	0	0	0	973	576	0
	339	05	DEC	973333	536416	4166	0	0	0	973	603	5
	340	06	DEC	981333	510530	1962	0	0	0	981	626	2
	341	07	DEC	984000	446644	0	0	0	0	984	632	0
	342	08	DEC	976000	385195	0	0	0	0	976	634	0
	343	09	DEC	965333	373336	0	0	0	0	965	630	0
	344	10	DEC	962667	426878	0	0	0	0	963	632	0
	345	11	DEC	973333	514314	2060	0	0	0	973	633	3
	346	12	DEC	960000	576309	17246	0	0	0	960	647	22
	347	13	DEC	946667	588037	35447	0	0	0	947	650	49
	348	14	DEC	936000	555686	13618	0	0	0	936	642	20
	349	15	DEC	928000	493697	0	0	0	0	928	630	0
	350	16	DEC	925333	425634	0	0	0	0	925	610	0
	351	17	DEC	933333	441343	0	0	0	0	933	623	0
	352	18	DEC	933333	547810	13582	0	0	0	933	644	22
	353	19	DEC	944000	605785	28389	0	0	0	944	665	41
	354	20	DEC	946667	612317	14517	0	0	0	947	675	20
	355	21	DEC	938667	557455	4068	0	0	0	939	670	5
	356	22	DEC	944000	471524	0	0	0	0	944	664	0
	357	23	DEC	949333	429102	0	0	0	0	949	657	0
	358	24	DEC	645333	269802	0	0	0	0	645	432	0
	359	25	DEC	642667	311419	6811	0	0	0	643	427	10
	360	26	DEC	642667	364731	15880	0	0	0	643	431	21
	361	27	DEC	629333	365533	20881	0	0	0	629	423	28
	362	28	DEC	632000	331571	1792	0	0	0	632	413	2
	363	29	DEC	634667	281272	0	0	0	0	635	397	0
	364	30	DEC	629333	272312	0	0	0	0	629	394	0
