Area	area	va	daily
	VARIABLES	BEGIN	END
	122	1	364

Area	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
	9	09	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	10	10	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	11	11	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	12	12	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	13	13	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	14	14	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	15	15	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	16	16	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	17	17	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	18	18	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	19	19	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	20	20	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	21	21	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	22	22	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	23	23	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	24	24	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	25	25	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	26	26	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	27	27	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	28	28	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	29	29	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	30	30	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	31	31	JAN	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	32	01	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	33	02	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	34	03	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	35	04	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	36	05	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	37	06	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
	38	07	FEB	10200	10200	0	10200	10200	0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	1200	0	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	2040	2040	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	840	0	840	840	0	0	0	0	0	4440	0	4440	4440	2400	0	2400	2400	3240	0	3240	3240	0	0	0	0	24	0	24	24
